-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M
-18.5,-63.75,2022,277,11.78
-18.5,-63.125,2022,277,12.99
-18.5,-62.5,2022,277,13.41
-18.0,-63.75,2022,277,12.55
-18.0,-63.125,2022,277,13.28
-18.0,-62.5,2022,277,13.68
-17.5,-63.75,2022,277,13.27
-17.5,-63.125,2022,277,13.77
-17.5,-62.5,2022,277,13.9
-17.0,-63.75,2022,277,13.58
-17.0,-63.125,2022,277,13.57
-17.0,-62.5,2022,277,13.39
-16.5,-63.75,2022,277,13.46
-16.5,-63.125,2022,277,12.99
-16.5,-62.5,2022,277,12.9
-18.5,-63.75,2022,278,12.94
-18.5,-63.125,2022,278,14.25
-18.5,-62.5,2022,278,14.27
-18.0,-63.75,2022,278,13.86
-18.0,-63.125,2022,278,14.6
-18.0,-62.5,2022,278,14.5
-17.5,-63.75,2022,278,14.62
-17.5,-63.125,2022,278,14.89
-17.5,-62.5,2022,278,14.41
-17.0,-63.75,2022,278,14.8
-17.0,-63.125,2022,278,14.66
-17.0,-62.5,2022,278,13.79
-16.5,-63.75,2022,278,14.62
-16.5,-63.125,2022,278,14.09
-16.5,-62.5,2022,278,13.37
-18.5,-63.75,2022,279,11.11
-18.5,-63.125,2022,279,11.51
-18.5,-62.5,2022,279,11.87
-18.0,-63.75,2022,279,12.53
-18.0,-63.125,2022,279,12.5
-18.0,-62.5,2022,279,12.65
-17.5,-63.75,2022,279,14.16
-17.5,-63.125,2022,279,13.68
-17.5,-62.5,2022,279,13.42
-17.0,-63.75,2022,279,15.51
-17.0,-63.125,2022,279,15.16
-17.0,-62.5,2022,279,14.61
-16.5,-63.75,2022,279,16.94
-16.5,-63.125,2022,279,16.49
-16.5,-62.5,2022,279,15.55
-18.5,-63.75,2022,280,8.97
-18.5,-63.125,2022,280,9.81
-18.5,-62.5,2022,280,9.36
-18.0,-63.75,2022,280,9.55
-18.0,-63.125,2022,280,10.22
-18.0,-62.5,2022,280,10.31
-17.5,-63.75,2022,280,10.48
-17.5,-63.125,2022,280,10.93
-17.5,-62.5,2022,280,10.89
-17.0,-63.75,2022,280,11.42
-17.0,-63.125,2022,280,11.46
-17.0,-62.5,2022,280,11.18
-16.5,-63.75,2022,280,12.36
-16.5,-63.125,2022,280,11.63
-16.5,-62.5,2022,280,11.56
