-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
-18.5,-63.75,2022,277,61.95
-18.5,-63.125,2022,277,55.32
-18.5,-62.5,2022,277,54.22
-18.0,-63.75,2022,277,65.71
-18.0,-63.125,2022,277,56.49
-18.0,-62.5,2022,277,55.07
-17.5,-63.75,2022,277,55.25
-17.5,-63.125,2022,277,56.69
-17.5,-62.5,2022,277,56.09
-17.0,-63.75,2022,277,54.18
-17.0,-63.125,2022,277,51.63
-17.0,-62.5,2022,277,50.92
-16.5,-63.75,2022,277,50.26
-16.5,-63.125,2022,277,44.94
-16.5,-62.5,2022,277,46.22
-18.5,-63.75,2022,278,63.82
-18.5,-63.125,2022,278,54.75
-18.5,-62.5,2022,278,52.53
-18.0,-63.75,2022,278,69.09
-18.0,-63.125,2022,278,56.92
-18.0,-62.5,2022,278,53.93
-17.5,-63.75,2022,278,57.36
-17.5,-63.125,2022,278,56.05
-17.5,-62.5,2022,278,54.03
-17.0,-63.75,2022,278,55.66
-17.0,-63.125,2022,278,53.43
-17.0,-62.5,2022,278,50.65
-16.5,-63.75,2022,278,52.84
-16.5,-63.125,2022,278,50.66
-16.5,-62.5,2022,278,49.58
-18.5,-63.75,2022,279,64.88
-18.5,-63.125,2022,279,54.34
-18.5,-62.5,2022,279,56.36
-18.0,-63.75,2022,279,73.04
-18.0,-63.125,2022,279,61.09
-18.0,-62.5,2022,279,60.1
-17.5,-63.75,2022,279,67.03
-17.5,-63.125,2022,279,64.64
-17.5,-62.5,2022,279,62.83
-17.0,-63.75,2022,279,68.12
-17.0,-63.125,2022,279,67.2
-17.0,-62.5,2022,279,66.05
-16.5,-63.75,2022,279,73.29
-16.5,-63.125,2022,279,70.62
-16.5,-62.5,2022,279,68.67
-18.5,-63.75,2022,280,67.84
-18.5,-63.125,2022,280,60.84
-18.5,-62.5,2022,280,56.83
-18.0,-63.75,2022,280,69.64
-18.0,-63.125,2022,280,65.84
-18.0,-62.5,2022,280,65.08
-17.5,-63.75,2022,280,66.13
-17.5,-63.125,2022,280,69.4
-17.5,-62.5,2022,280,68.83
-17.0,-63.75,2022,280,72.05
