-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MAX
-18.5,-63.75,2022,277,30.42
-18.5,-63.125,2022,277,35.17
-18.5,-62.5,2022,277,35.81
-18.0,-63.75,2022,277,29.54
-18.0,-63.125,2022,277,34.01
-18.0,-62.5,2022,277,35.62
-17.5,-63.75,2022,277,34.32
-17.5,-63.125,2022,277,35.73
-17.5,-62.5,2022,277,36.48
-17.0,-63.75,2022,277,37.02
-17.0,-63.125,2022,277,37.52
-17.0,-62.5,2022,277,37.57
-16.5,-63.75,2022,277,37.74
-16.5,-63.125,2022,277,38.07
-16.5,-62.5,2022,277,38.29
-18.5,-63.75,2022,278,29.18
-18.5,-63.125,2022,278,34.64
-18.5,-62.5,2022,278,36.05
-18.0,-63.75,2022,278,27.75
-18.0,-63.125,2022,278,33.89
-18.0,-62.5,2022,278,35.93
-17.5,-63.75,2022,278,33.91
-17.5,-63.125,2022,278,35.69
-17.5,-62.5,2022,278,36.53
-17.0,-63.75,2022,278,36.6
-17.0,-63.125,2022,278,36.69
-17.0,-62.5,2022,278,36.77
-16.5,-63.75,2022,278,36.39
-16.5,-63.125,2022,278,36.05
-16.5,-62.5,2022,278,36.65
-18.5,-63.75,2022,279,25.39
-18.5,-63.125,2022,279,28.42
-18.5,-62.5,2022,279,28.29
-18.0,-63.75,2022,279,24.63
-18.0,-63.125,2022,279,27.17
-18.0,-62.5,2022,279,27.67
-17.5,-63.75,2022,279,29.13
-17.5,-63.125,2022,279,28.13
-17.5,-62.5,2022,279,28.24
-17.0,-63.75,2022,279,30.77
-17.0,-63.125,2022,279,29.7
-17.0,-62.5,2022,279,29.14
-16.5,-63.75,2022,279,30.73
-16.5,-63.125,2022,279,30.53
-16.5,-62.5,2022,279,29.92
-18.5,-63.75,2022,280,22.68
-18.5,-63.125,2022,280,25.46
-18.5,-62.5,2022,280,25.66
-18.0,-63.75,2022,280,23.39
-18.0,-63.125,2022,280,24.38
-18.0,-62.5,2022,280,24.29
-17.5,-63.75,2022,280,25.53
-17.5,-63.125,2022,280,25.15
-17.5,-62.5,2022,280,23.79
-17.0,-63.75,2022,280,24.97
-17.0,-63.125,2022,280,24.6
-17.0,-62.5,2022,280,23.93
-16.5,-63.75,2022,280,25.16
-16.5,-63.125,2022,280,26.54
-16.5,-62.5,2022,280,23.99
-18.5,-63.75,2022,281,30.02
-18.5,-63.125,2022,281,33.25
-18.5,-62.5,2022,281,33.75
-18.0,-63.75,2022,281,27.07
-18.0,-63.125,2022,281,31.79
-18.0,-62.5,2022,281,33.64
-17.5,-63.75,2022,281,31.52
-17.5,-63.125,2022,281,33.11
