-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
-18.5,-63.75,2022,277,16.3
-18.5,-63.125,2022,277,20.8
-18.5,-62.5,2022,277,22.5
-18.0,-63.75,2022,277,16.8
-18.0,-63.125,2022,277,21.1
-18.0,-62.5,2022,277,22.42
-17.5,-63.75,2022,277,22.33
-17.5,-63.125,2022,277,22.28
-17.5,-62.5,2022,277,22.55
-17.0,-63.75,2022,277,22.5
-17.0,-63.125,2022,277,24.0
-17.0,-62.5,2022,277,23.92
-16.5,-63.75,2022,277,24.12
-16.5,-63.125,2022,277,26.2
-16.5,-62.5,2022,277,24.61
-18.5,-63.75,2022,278,19.33
-18.5,-63.125,2022,278,23.52
-18.5,-62.5,2022,278,24.37
-18.0,-63.75,2022,278,19.16
-18.0,-63.125,2022,278,23.58
-18.0,-62.5,2022,278,24.35
-17.5,-63.75,2022,278,24.01
-17.5,-63.125,2022,278,24.38
-17.5,-62.5,2022,278,24.35
-17.0,-63.75,2022,278,24.16
-17.0,-63.125,2022,278,25.18
-17.0,-62.5,2022,278,24.93
-16.5,-63.75,2022,278,25.43
-16.5,-63.125,2022,278,25.57
-16.5,-62.5,2022,278,24.69
-18.5,-63.75,2022,279,14.18
-18.5,-63.125,2022,279,20.93
-18.5,-62.5,2022,279,21.77
-18.0,-63.75,2022,279,15.74
-18.0,-63.125,2022,279,20.6
-18.0,-62.5,2022,279,22.09
-17.5,-63.75,2022,279,20.71
-17.5,-63.125,2022,279,21.82
-17.5,-62.5,2022,279,22.39
-17.0,-63.75,2022,279,22.32
-17.0,-63.125,2022,279,23.01
-17.0,-62.5,2022,279,22.54
-16.5,-63.75,2022,279,22.78
-16.5,-63.125,2022,279,23.65
-16.5,-62.5,2022,279,22.42
-18.5,-63.75,2022,280,12.48
-18.5,-63.125,2022,280,17.81
-18.5,-62.5,2022,280,18.33
-18.0,-63.75,2022,280,13.31
-18.0,-63.125,2022,280,17.86
-18.0,-62.5,2022,280,18.17
-17.5,-63.75,2022,280,17.31
-17.5,-63.125,2022,280,18.3
-17.5,-62.5,2022,280,17.73
-17.0,-63.75,2022,280,18.61
-17.0,-63.125,2022,280,19.51
-17.0,-62.5,2022,280,17.76
-16.5,-63.75,2022,280,19.1
-16.5,-63.125,2022,280,20.09
-16.5,-62.5,2022,280,18.3
-18.5,-63.75,2022,281,12.68
-18.5,-63.125,2022,281,16.93
-18.5,-62.5,2022,281,17.09
-18.0,-63.75,2022,281,12.61
-18.0,-63.125,2022,281,16.84
-18.0,-62.5,2022,281,17.04
