-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2022 through 10/03/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS10M     MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,DOY,WS10M
-18.5,-63.75,2022,277,3.96
-18.5,-63.125,2022,277,4.89
-18.5,-62.5,2022,277,6.29
-18.0,-63.75,2022,277,3.75
-18.0,-63.125,2022,277,4.89
-18.0,-62.5,2022,277,5.47
-17.5,-63.75,2022,277,2.48
-17.5,-63.125,2022,277,4.06
-17.5,-62.5,2022,277,3.49
-17.0,-63.75,2022,277,1.37
-17.0,-63.125,2022,277,2.35
-17.0,-62.5,2022,277,1.97
-16.5,-63.75,2022,277,1.37
-16.5,-63.125,2022,277,1.6
-16.5,-62.5,2022,277,3.04
-18.5,-63.75,2022,278,5.39
-18.5,-63.125,2022,278,6.87
-18.5,-62.5,2022,278,9.48
-18.0,-63.75,2022,278,5.43
-18.0,-63.125,2022,278,7.7
-18.0,-62.5,2022,278,8.22
-17.5,-63.75,2022,278,3.47
-17.5,-63.125,2022,278,6.49
-17.5,-62.5,2022,278,5.14
-17.0,-63.75,2022,278,1.82
-17.0,-63.125,2022,278,3.21
-17.0,-62.5,2022,278,2.56
-16.5,-63.75,2022,278,1.68
-16.5,-63.125,2022,278,1.93
-16.5,-62.5,2022,278,3.52
-18.5,-63.75,2022,279,2.91
-18.5,-63.125,2022,279,3.91
-18.5,-62.5,2022,279,5.4
-18.0,-63.75,2022,279,2.81
-18.0,-63.125,2022,279,4.27
-18.0,-62.5,2022,279,4.83
-17.5,-63.75,2022,279,2.21
-17.5,-63.125,2022,279,3.52
-17.5,-62.5,2022,279,3.15
-17.0,-63.75,2022,279,1.15
-17.0,-63.125,2022,279,1.64
-17.0,-62.5,2022,279,1.42
-16.5,-63.75,2022,279,0.88
-16.5,-63.125,2022,279,0.89
-16.5,-62.5,2022,279,1.9
-18.5,-63.75,2022,280,2.36
-18.5,-63.125,2022,280,3.4
-18.5,-62.5,2022,280,3.36
-18.0,-63.75,2022,280,2.88
-18.0,-63.125,2022,280,3.77
-18.0,-62.5,2022,280,3.47
-17.5,-63.75,2022,280,2.43
-17.5,-63.125,2022,280,3.78
-17.5,-62.5,2022,280,2.83
-17.0,-63.75,2022,280,1.34
-17.0,-63.125,2022,280,2.18
-17.0,-62.5,2022,280,1.59
-16.5,-63.75,2022,280,1.26
-16.5,-63.125,2022,280,1.43
-16.5,-62.5,2022,280,2.82
-18.5,-63.75,2022,281,4.52
-18.5,-63.125,2022,281,6.86
-18.5,-62.5,2022,281,9.44
-18.0,-63.75,2022,281,4.58
-18.0,-63.125,2022,281,7.38
-18.0,-62.5,2022,281,7.93
-17.5,-63.75,2022,281,3.06
-17.5,-63.125,2022,281,5.87
-17.5,-62.5,2022,281,4.94
-17.0,-63.75,2022,281,1.65
-17.0,-63.125,2022,281,2.88
-17.0,-62.5,2022,281,2.43
-16.5,-63.75,2022,281,1.51
-16.5,-63.125,2022,281,1.76
-16.5,-62.5,2022,281,3.35
-18.5,-63.75,2022,282,2.34
-18.5,-63.125,2022,282,5.08
-18.5,-62.5,2022,282,7.63
-18.0,-63.75,2022,282,2.42
-18.0,-63.125,2022,282,5.35
-18.0,-62.5,2022,282,6.77
-17.5,-63.75,2022,282,2.17
-17.5,-63.125,2022,282,4.89
-17.5,-62.5,2022,282,4.46
-17.0,-63.75,2022,282,1.43
-17.0,-63.125,2022,282,2.57
-17.0,-62.5,2022,282,1.98
-16.5,-63.75,2022,282,1.24
-16.5,-63.125,2022,282,1.48
-16.5,-62.5,2022,282,2.67
-18.5,-63.75,2022,283,2.31
-18.5,-63.125,2022,283,3.06
-18.5,-62.5,2022,283,3.77
-18.0,-63.75,2022,283,2.6
-18.0,-63.125,2022,283,3.2
-18.0,-62.5,2022,283,3.49
-17.5,-63.75,2022,283,1.84
-17.5,-63.125,2022,283,3.19
-17.5,-62.5,2022,283,2.35
-17.0,-63.75,2022,283,1.2
-17.0,-63.125,2022,283,1.7
-17.0,-62.5,2022,283,1.24
-16.5,-63.75,2022,283,1.2
-16.5,-63.125,2022,283,1.29
-16.5,-62.5,2022,283,1.92
-18.5,-63.75,2022,284,2.59
-18.5,-63.125,2022,284,2.86
-18.5,-62.5,2022,284,4.27
-18.0,-63.75,2022,284,2.65
-18.0,-63.125,2022,284,2.78
-18.0,-62.5,2022,284,3.67
-17.5,-63.75,2022,284,1.47
-17.5,-63.125,2022,284,2.61
-17.5,-62.5,2022,284,2.42
-17.0,-63.75,2022,284,1.06
-17.0,-63.125,2022,284,1.73
-17.0,-62.5,2022,284,1.38
-16.5,-63.75,2022,284,1.06
-16.5,-63.125,2022,284,1.16
-16.5,-62.5,2022,284,2.18
-18.5,-63.75,2022,285,2.05
-18.5,-63.125,2022,285,2.9
-18.5,-62.5,2022,285,3.95
-18.0,-63.75,2022,285,2.3
-18.0,-63.125,2022,285,3.27
-18.0,-62.5,2022,285,3.68
-17.5,-63.75,2022,285,1.75
-17.5,-63.125,2022,285,3.05
-17.5,-62.5,2022,285,2.69
-17.0,-63.75,2022,285,1.19
-17.0,-63.125,2022,285,1.8
-17.0,-62.5,2022,285,1.35
-16.5,-63.75,2022,285,0.91
-16.5,-63.125,2022,285,1.08
-16.5,-62.5,2022,285,1.91
-18.5,-63.75,2022,286,2.0
-18.5,-63.125,2022,286,2.97
-18.5,-62.5,2022,286,3.34
-18.0,-63.75,2022,286,2.08
-18.0,-63.125,2022,286,2.8
-18.0,-62.5,2022,286,3.23
-17.5,-63.75,2022,286,1.96
-17.5,-63.125,2022,286,3.29
-17.5,-62.5,2022,286,2.29
-17.0,-63.75,2022,286,1.13
-17.0,-63.125,2022,286,1.85
-17.0,-62.5,2022,286,1.23
-16.5,-63.75,2022,286,0.9
-16.5,-63.125,2022,286,0.89
-16.5,-62.5,2022,286,1.53
-18.5,-63.75,2022,287,1.89
-18.5,-63.125,2022,287,2.32
-18.5,-62.5,2022,287,2.72
-18.0,-63.75,2022,287,2.49
-18.0,-63.125,2022,287,3.46
-18.0,-62.5,2022,287,3.47
-17.5,-63.75,2022,287,2.19
-17.5,-63.125,2022,287,4.16
-17.5,-62.5,2022,287,3.04
-17.0,-63.75,2022,287,1.29
-17.0,-63.125,2022,287,2.11
-17.0,-62.5,2022,287,1.63
-16.5,-63.75,2022,287,1.21
-16.5,-63.125,2022,287,1.34
