-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_LW_DWN
-18.5,-63.5,2023,277,36.63
-18.5,-62.5,2023,277,38.23
-17.5,-63.5,2023,277,38.91
-17.5,-62.5,2023,277,37.73
-16.5,-63.5,2023,277,38.92
-16.5,-62.5,2023,277,37.43
-18.5,-63.5,2023,278,34.81
-18.5,-62.5,2023,278,37.11
-17.5,-63.5,2023,278,37.38
-17.5,-62.5,2023,278,37.51
-16.5,-63.5,2023,278,39.17
-16.5,-62.5,2023,278,37.38
-18.5,-63.5,2023,279,34.87
-18.5,-62.5,2023,279,38.19
-17.5,-63.5,2023,279,38.62
-17.5,-62.5,2023,279,37.94
-16.5,-63.5,2023,279,38.86
-16.5,-62.5,2023,279,37.12
-18.5,-63.5,2023,280,35.69
-18.5,-62.5,2023,280,37.53
-17.5,-63.5,2023,280,38.78
-17.5,-62.5,2023,280,38.33
-16.5,-63.5,2023,280,39.16
-16.5,-62.5,2023,280,37.6
-18.5,-63.5,2023,281,33.96
-18.5,-62.5,2023,281,35.01
-17.5,-63.5,2023,281,35.91
-17.5,-62.5,2023,281,35.93
-16.5,-63.5,2023,281,36.42
-16.5,-62.5,2023,281,35.95
-18.5,-63.5,2023,282,34.53
-18.5,-62.5,2023,282,35.52
-17.5,-63.5,2023,282,35.5
-17.5,-62.5,2023,282,35.66
-16.5,-63.5,2023,282,36.3
-16.5,-62.5,2023,282,36.61
-18.5,-63.5,2023,283,32.26
-18.5,-62.5,2023,283,35.53
-17.5,-63.5,2023,283,35.41
-17.5,-62.5,2023,283,36.34
-16.5,-63.5,2023,283,36.64
-16.5,-62.5,2023,283,36.25
-18.5,-63.5,2023,284,33.84
-18.5,-62.5,2023,284,36.92
-17.5,-63.5,2023,284,36.48
-17.5,-62.5,2023,284,37.22
-16.5,-63.5,2023,284,37.37
-16.5,-62.5,2023,284,36.69
-18.5,-63.5,2023,285,34.83
-18.5,-62.5,2023,285,35.28
-17.5,-63.5,2023,285,36.41
-17.5,-62.5,2023,285,36.06
-16.5,-63.5,2023,285,37.74
-16.5,-62.5,2023,285,36.96
-18.5,-63.5,2023,286,34.89
-18.5,-62.5,2023,286,36.14
-17.5,-63.5,2023,286,36.66
-17.5,-62.5,2023,286,36.04
-16.5,-63.5,2023,286,37.42
-16.5,-62.5,2023,286,36.06
-18.5,-63.5,2023,287,32.99
-18.5,-62.5,2023,287,35.49
-17.5,-63.5,2023,287,35.39
-17.5,-62.5,2023,287,35.51
-16.5,-63.5,2023,287,36.34
-16.5,-62.5,2023,287,35.24
