-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_PAR_TOT
-18.5,-63.5,2023,277,3.28
-18.5,-62.5,2023,277,5.04
-17.5,-63.5,2023,277,5.04
-17.5,-62.5,2023,277,6.5
-16.5,-63.5,2023,277,9.03
-16.5,-62.5,2023,277,9.11
-18.5,-63.5,2023,278,6.18
-18.5,-62.5,2023,278,7.9
-17.5,-63.5,2023,278,5.94
-17.5,-62.5,2023,278,8.41
-16.5,-63.5,2023,278,7.49
-16.5,-62.5,2023,278,8.92
-18.5,-63.5,2023,279,9.57
-18.5,-62.5,2023,279,8.9
-17.5,-63.5,2023,279,8.25
-17.5,-62.5,2023,279,9.15
-16.5,-63.5,2023,279,9.55
-16.5,-62.5,2023,279,8.81
-18.5,-63.5,2023,280,2.69
-18.5,-62.5,2023,280,1.88
-17.5,-63.5,2023,280,3.85
-17.5,-62.5,2023,280,5.49
-16.5,-63.5,2023,280,7.11
-16.5,-62.5,2023,280,7.66
-18.5,-63.5,2023,281,4.37
-18.5,-62.5,2023,281,6.89
-17.5,-63.5,2023,281,4.77
-17.5,-62.5,2023,281,4.56
-16.5,-63.5,2023,281,3.28
-16.5,-62.5,2023,281,3.54
-18.5,-63.5,2023,282,7.45
-18.5,-62.5,2023,282,9.36
-17.5,-63.5,2023,282,9.41
-17.5,-62.5,2023,282,9.94
-16.5,-63.5,2023,282,7.4
-16.5,-62.5,2023,282,8.02
-18.5,-63.5,2023,283,11.2
-18.5,-62.5,2023,283,11.04
-17.5,-63.5,2023,283,11.13
-17.5,-62.5,2023,283,10.74
-16.5,-63.5,2023,283,10.48
-16.5,-62.5,2023,283,10.6
-18.5,-63.5,2023,284,11.12
-18.5,-62.5,2023,284,10.79
-17.5,-63.5,2023,284,11.06
-17.5,-62.5,2023,284,10.22
-16.5,-63.5,2023,284,10.28
-16.5,-62.5,2023,284,10.79
-18.5,-63.5,2023,285,7.48
-18.5,-62.5,2023,285,9.04
-17.5,-63.5,2023,285,9.59
-17.5,-62.5,2023,285,9.37
-16.5,-63.5,2023,285,8.83
-16.5,-62.5,2023,285,7.26
-18.5,-63.5,2023,286,3.79
-18.5,-62.5,2023,286,5.66
-17.5,-63.5,2023,286,4.36
-17.5,-62.5,2023,286,6.34
-16.5,-63.5,2023,286,5.65
-16.5,-62.5,2023,286,7.4
-18.5,-63.5,2023,287,11.15
-18.5,-62.5,2023,287,11.33
-17.5,-63.5,2023,287,10.66
-17.5,-62.5,2023,287,11.05
-16.5,-63.5,2023,287,10.61
-16.5,-62.5,2023,287,11.36
-18.5,-63.5,2023,288,11.91
-18.5,-62.5,2023,288,11.6
-17.5,-63.5,2023,288,11.9
-17.5,-62.5,2023,288,11.39
-16.5,-63.5,2023,288,11.58
-16.5,-62.5,2023,288,11.51
-18.5,-63.5,2023,289,11.97
-18.5,-62.5,2023,289,12.08
-17.5,-63.5,2023,289,11.84
-17.5,-62.5,2023,289,11.82
-16.5,-63.5,2023,289,11.62
-16.5,-62.5,2023,289,11.98
-18.5,-63.5,2023,290,8.28
-18.5,-62.5,2023,290,10.05
-17.5,-63.5,2023,290,9.74
-17.5,-62.5,2023,290,9.88
-16.5,-63.5,2023,290,11.18
-16.5,-62.5,2023,290,11.25
-18.5,-63.5,2023,291,9.91
-18.5,-62.5,2023,291,11.39
-17.5,-63.5,2023,291,11.01
-17.5,-62.5,2023,291,11.38
-16.5,-63.5,2023,291,10.94
-16.5,-62.5,2023,291,10.93
-18.5,-63.5,2023,292,8.32
-18.5,-62.5,2023,292,9.63
-17.5,-63.5,2023,292,9.27
-17.5,-62.5,2023,292,10.43
-16.5,-63.5,2023,292,11.11
-16.5,-62.5,2023,292,10.75
-18.5,-63.5,2023,293,9.89
-18.5,-62.5,2023,293,11.46
-17.5,-63.5,2023,293,11.0
-17.5,-62.5,2023,293,11.2
-16.5,-63.5,2023,293,11.55
-16.5,-62.5,2023,293,11.56
-18.5,-63.5,2023,294,11.89
-18.5,-62.5,2023,294,11.58
-17.5,-63.5,2023,294,11.59
-17.5,-62.5,2023,294,11.23
-16.5,-63.5,2023,294,11.38
-16.5,-62.5,2023,294,10.82
-18.5,-63.5,2023,295,11.19
-18.5,-62.5,2023,295,10.7
-17.5,-63.5,2023,295,11.12
-17.5,-62.5,2023,295,10.57
-16.5,-63.5,2023,295,10.8
-16.5,-62.5,2023,295,10.34
-18.5,-63.5,2023,296,10.71
-18.5,-62.5,2023,296,10.33
-17.5,-63.5,2023,296,10.41
-17.5,-62.5,2023,296,10.19
-16.5,-63.5,2023,296,9.9
-16.5,-62.5,2023,296,10.12
-18.5,-63.5,2023,297,7.27
-18.5,-62.5,2023,297,7.79
-17.5,-63.5,2023,297,7.93
-17.5,-62.5,2023,297,8.54
-16.5,-63.5,2023,297,9.61
-16.5,-62.5,2023,297,9.63
-18.5,-63.5,2023,298,5.69
-18.5,-62.5,2023,298,6.68
-17.5,-63.5,2023,298,6.0
-17.5,-62.5,2023,298,6.87
-16.5,-63.5,2023,298,6.86
-16.5,-62.5,2023,298,6.95
-18.5,-63.5,2023,299,4.93
-18.5,-62.5,2023,299,5.1
-17.5,-63.5,2023,299,3.57
-17.5,-62.5,2023,299,5.31
-16.5,-63.5,2023,299,3.86
-16.5,-62.5,2023,299,5.35
-18.5,-63.5,2023,300,7.9
-18.5,-62.5,2023,300,7.93
-17.5,-63.5,2023,300,5.37
-17.5,-62.5,2023,300,7.64
