-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_SW_DWN
-18.5,-63.5,2023,277,6.81
-18.5,-62.5,2023,277,10.18
-17.5,-63.5,2023,277,10.85
-17.5,-62.5,2023,277,14.17
-16.5,-63.5,2023,277,19.74
-16.5,-62.5,2023,277,19.83
-18.5,-63.5,2023,278,13.58
-18.5,-62.5,2023,278,16.66
-17.5,-63.5,2023,278,13.16
-17.5,-62.5,2023,278,18.58
-16.5,-63.5,2023,278,16.79
-16.5,-62.5,2023,278,19.74
-18.5,-63.5,2023,279,21.38
-18.5,-62.5,2023,279,19.41
-17.5,-63.5,2023,279,18.26
-17.5,-62.5,2023,279,20.5
-16.5,-63.5,2023,279,21.34
-16.5,-62.5,2023,279,19.82
-18.5,-63.5,2023,280,5.62
-18.5,-62.5,2023,280,3.59
-17.5,-63.5,2023,280,8.31
-17.5,-62.5,2023,280,12.04
-16.5,-63.5,2023,280,15.77
-16.5,-62.5,2023,280,17.15
-18.5,-63.5,2023,281,9.45
-18.5,-62.5,2023,281,14.53
-17.5,-63.5,2023,281,10.22
-17.5,-62.5,2023,281,9.87
-16.5,-63.5,2023,281,7.13
-16.5,-62.5,2023,281,7.53
-18.5,-63.5,2023,282,16.31
-18.5,-62.5,2023,282,20.17
-17.5,-63.5,2023,282,20.7
-17.5,-62.5,2023,282,21.92
-16.5,-63.5,2023,282,16.2
-16.5,-62.5,2023,282,17.43
-18.5,-63.5,2023,283,25.3
-18.5,-62.5,2023,283,24.36
-17.5,-63.5,2023,283,24.72
-17.5,-62.5,2023,283,23.82
-16.5,-63.5,2023,283,23.29
-16.5,-62.5,2023,283,23.37
-18.5,-63.5,2023,284,24.95
-18.5,-62.5,2023,284,23.88
-17.5,-63.5,2023,284,24.56
-17.5,-62.5,2023,284,22.8
-16.5,-63.5,2023,284,23.08
-16.5,-62.5,2023,284,23.81
-18.5,-63.5,2023,285,16.47
-18.5,-62.5,2023,285,19.56
-17.5,-63.5,2023,285,21.17
-17.5,-62.5,2023,285,20.82
-16.5,-63.5,2023,285,19.6
-16.5,-62.5,2023,285,16.18
-18.5,-63.5,2023,286,8.2
-18.5,-62.5,2023,286,11.3
-17.5,-63.5,2023,286,9.46
-17.5,-62.5,2023,286,13.87
-16.5,-63.5,2023,286,12.33
-16.5,-62.5,2023,286,16.2
-18.5,-63.5,2023,287,24.81
-18.5,-62.5,2023,287,24.59
-17.5,-63.5,2023,287,23.43
-17.5,-62.5,2023,287,24.23
-16.5,-63.5,2023,287,23.3
-16.5,-62.5,2023,287,24.93
-18.5,-63.5,2023,288,26.69
-18.5,-62.5,2023,288,25.47
-17.5,-63.5,2023,288,26.34
-17.5,-62.5,2023,288,25.15
-16.5,-63.5,2023,288,25.54
-16.5,-62.5,2023,288,25.12
-18.5,-63.5,2023,289,26.72
-18.5,-62.5,2023,289,26.17
-17.5,-63.5,2023,289,25.91
-17.5,-62.5,2023,289,25.84
-16.5,-63.5,2023,289,25.35
-16.5,-62.5,2023,289,26.06
-18.5,-63.5,2023,290,18.31
-18.5,-62.5,2023,290,21.64
-17.5,-63.5,2023,290,21.56
-17.5,-62.5,2023,290,21.81
-16.5,-63.5,2023,290,24.53
-16.5,-62.5,2023,290,24.57
-18.5,-63.5,2023,291,21.9
-18.5,-62.5,2023,291,24.76
-17.5,-63.5,2023,291,24.11
-17.5,-62.5,2023,291,25.02
-16.5,-63.5,2023,291,23.95
-16.5,-62.5,2023,291,23.82
-18.5,-63.5,2023,292,18.4
-18.5,-62.5,2023,292,20.6
-17.5,-63.5,2023,292,20.45
-17.5,-62.5,2023,292,23.06
-16.5,-63.5,2023,292,24.54
-16.5,-62.5,2023,292,23.44
-18.5,-63.5,2023,293,21.76
-18.5,-62.5,2023,293,24.93
-17.5,-63.5,2023,293,24.32
-17.5,-62.5,2023,293,24.75
-16.5,-63.5,2023,293,25.18
-16.5,-62.5,2023,293,24.99
-18.5,-63.5,2023,294,26.61
-18.5,-62.5,2023,294,25.48
-17.5,-63.5,2023,294,25.68
-17.5,-62.5,2023,294,24.97
-16.5,-63.5,2023,294,25.19
-16.5,-62.5,2023,294,23.9
-18.5,-63.5,2023,295,25.53
-18.5,-62.5,2023,295,24.07
-17.5,-63.5,2023,295,25.03
-17.5,-62.5,2023,295,23.84
