-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2023,277,23.46
-18.5,-62.5,2023,277,23.26
-17.5,-63.5,2023,277,23.29
-17.5,-62.5,2023,277,23.33
-16.5,-63.5,2023,277,23.69
-16.5,-62.5,2023,277,24.47
-18.5,-63.5,2023,278,23.45
-18.5,-62.5,2023,278,24.02
-17.5,-63.5,2023,278,23.48
-17.5,-62.5,2023,278,24.08
-16.5,-63.5,2023,278,22.42
-16.5,-62.5,2023,278,23.73
-18.5,-63.5,2023,279,23.85
-18.5,-62.5,2023,279,22.95
-17.5,-63.5,2023,279,23.68
-17.5,-62.5,2023,279,23.09
-16.5,-63.5,2023,279,22.66
-16.5,-62.5,2023,279,22.96
-18.5,-63.5,2023,280,23.03
-18.5,-62.5,2023,280,22.38
-17.5,-63.5,2023,280,22.8
-17.5,-62.5,2023,280,22.29
-16.5,-63.5,2023,280,22.1
-16.5,-62.5,2023,280,22.35
-18.5,-63.5,2023,281,23.63
-18.5,-62.5,2023,281,22.72
-17.5,-63.5,2023,281,23.32
-17.5,-62.5,2023,281,22.82
-16.5,-63.5,2023,281,20.46
-16.5,-62.5,2023,281,20.81
-18.5,-63.5,2023,282,24.54
-18.5,-62.5,2023,282,24.13
-17.5,-63.5,2023,282,24.31
-17.5,-62.5,2023,282,24.15
-16.5,-63.5,2023,282,23.52
-16.5,-62.5,2023,282,24.33
-18.5,-63.5,2023,283,25.39
-18.5,-62.5,2023,283,24.5
-17.5,-63.5,2023,283,25.07
-17.5,-62.5,2023,283,24.5
-16.5,-63.5,2023,283,23.97
-16.5,-62.5,2023,283,24.4
-18.5,-63.5,2023,284,25.56
-18.5,-62.5,2023,284,24.34
-17.5,-63.5,2023,284,25.31
-17.5,-62.5,2023,284,24.41
-16.5,-63.5,2023,284,23.57
-16.5,-62.5,2023,284,24.74
-18.5,-63.5,2023,285,25.23
-18.5,-62.5,2023,285,24.12
-17.5,-63.5,2023,285,24.9
-17.5,-62.5,2023,285,24.02
-16.5,-63.5,2023,285,23.26
-16.5,-62.5,2023,285,22.22
-18.5,-63.5,2023,286,24.39
-18.5,-62.5,2023,286,24.46
-17.5,-63.5,2023,286,24.21
-17.5,-62.5,2023,286,24.34
-16.5,-63.5,2023,286,23.34
-16.5,-62.5,2023,286,24.32
-18.5,-63.5,2023,287,26.27
-18.5,-62.5,2023,287,26.1
-17.5,-63.5,2023,287,25.96
-17.5,-62.5,2023,287,25.91
-16.5,-63.5,2023,287,25.38
-16.5,-62.5,2023,287,25.67
-18.5,-63.5,2023,288,26.82
-18.5,-62.5,2023,288,25.7
-17.5,-63.5,2023,288,26.41
-17.5,-62.5,2023,288,25.54
-16.5,-63.5,2023,288,25.83
-16.5,-62.5,2023,288,26.07
-18.5,-63.5,2023,289,26.88
-18.5,-62.5,2023,289,26.38
-17.5,-63.5,2023,289,26.3
-17.5,-62.5,2023,289,26.21
-16.5,-63.5,2023,289,25.83
-16.5,-62.5,2023,289,26.73
-18.5,-63.5,2023,290,25.01
-18.5,-62.5,2023,290,25.24
-17.5,-63.5,2023,290,24.71
-17.5,-62.5,2023,290,25.21
-16.5,-63.5,2023,290,25.36
-16.5,-62.5,2023,290,26.05
-18.5,-63.5,2023,291,25.84
-18.5,-62.5,2023,291,25.3
-17.5,-63.5,2023,291,25.46
-17.5,-62.5,2023,291,25.18
-16.5,-63.5,2023,291,25.25
-16.5,-62.5,2023,291,25.65
-18.5,-63.5,2023,292,24.61
-18.5,-62.5,2023,292,24.98
-17.5,-63.5,2023,292,24.34
-17.5,-62.5,2023,292,24.93
-16.5,-63.5,2023,292,24.93
-16.5,-62.5,2023,292,25.95
-18.5,-63.5,2023,293,25.35
-18.5,-62.5,2023,293,25.17
-17.5,-63.5,2023,293,25.09
-17.5,-62.5,2023,293,25.01
-16.5,-63.5,2023,293,25.82
-16.5,-62.5,2023,293,26.66
-18.5,-63.5,2023,294,26.8
-18.5,-62.5,2023,294,25.58
-17.5,-63.5,2023,294,26.48
-17.5,-62.5,2023,294,25.39
-16.5,-63.5,2023,294,25.63
-16.5,-62.5,2023,294,25.41
-18.5,-63.5,2023,295,25.58
-18.5,-62.5,2023,295,24.13
-17.5,-63.5,2023,295,25.28
