-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
-END HEADER-
LAT,LON,YEAR,DOY,GWETROOT
-18.5,-63.75,2023,277,0.39
-18.5,-63.125,2023,277,0.33
-18.5,-62.5,2023,277,0.27
-18.0,-63.75,2023,277,0.42
-18.0,-63.125,2023,277,0.32
-18.0,-62.5,2023,277,0.25
-17.5,-63.75,2023,277,0.38
-17.5,-63.125,2023,277,0.37
-17.5,-62.5,2023,277,0.36
-17.0,-63.75,2023,277,0.58
-17.0,-63.125,2023,277,0.42
-17.0,-62.5,2023,277,0.47
-16.5,-63.75,2023,277,0.48
-16.5,-63.125,2023,277,0.4
-16.5,-62.5,2023,277,0.47
-18.5,-63.75,2023,278,0.39
-18.5,-63.125,2023,278,0.33
-18.5,-62.5,2023,278,0.28
-18.0,-63.75,2023,278,0.42
-18.0,-63.125,2023,278,0.32
-18.0,-62.5,2023,278,0.25
-17.5,-63.75,2023,278,0.38
-17.5,-63.125,2023,278,0.36
-17.5,-62.5,2023,278,0.36
-17.0,-63.75,2023,278,0.58
-17.0,-63.125,2023,278,0.42
-17.0,-62.5,2023,278,0.47
-16.5,-63.75,2023,278,0.48
-16.5,-63.125,2023,278,0.39
-16.5,-62.5,2023,278,0.47
-18.5,-63.75,2023,279,0.38
-18.5,-63.125,2023,279,0.33
-18.5,-62.5,2023,279,0.27
-18.0,-63.75,2023,279,0.42
-18.0,-63.125,2023,279,0.32
-18.0,-62.5,2023,279,0.25
-17.5,-63.75,2023,279,0.37
-17.5,-63.125,2023,279,0.36
-17.5,-62.5,2023,279,0.36
-17.0,-63.75,2023,279,0.58
-17.0,-63.125,2023,279,0.41
-17.0,-62.5,2023,279,0.47
-16.5,-63.75,2023,279,0.48
-16.5,-63.125,2023,279,0.39
-16.5,-62.5,2023,279,0.47
-18.5,-63.75,2023,280,0.39
-18.5,-63.125,2023,280,0.34
-18.5,-62.5,2023,280,0.28
-18.0,-63.75,2023,280,0.43
-18.0,-63.125,2023,280,0.33
-18.0,-62.5,2023,280,0.26
-17.5,-63.75,2023,280,0.38
-17.5,-63.125,2023,280,0.37
-17.5,-62.5,2023,280,0.37
-17.0,-63.75,2023,280,0.58
-17.0,-63.125,2023,280,0.41
-17.0,-62.5,2023,280,0.48
-16.5,-63.75,2023,280,0.48
-16.5,-63.125,2023,280,0.4
-16.5,-62.5,2023,280,0.48
-18.5,-63.75,2023,281,0.41
-18.5,-63.125,2023,281,0.36
-18.5,-62.5,2023,281,0.31
-18.0,-63.75,2023,281,0.46
-18.0,-63.125,2023,281,0.35
-18.0,-62.5,2023,281,0.29
-17.5,-63.75,2023,281,0.41
-17.5,-63.125,2023,281,0.4
-17.5,-62.5,2023,281,0.4
-17.0,-63.75,2023,281,0.61
-17.0,-63.125,2023,281,0.45
-17.0,-62.5,2023,281,0.51
-16.5,-63.75,2023,281,0.5
-16.5,-63.125,2023,281,0.43
-16.5,-62.5,2023,281,0.51
