-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
GWETTOP     MERRA-2 Surface Soil Wetness (1) 
-END HEADER-
LAT,LON,YEAR,DOY,GWETTOP
-18.5,-63.75,2023,277,0.27
-18.5,-63.125,2023,277,0.21
-18.5,-62.5,2023,277,0.2
-18.0,-63.75,2023,277,0.31
-18.0,-63.125,2023,277,0.24
-18.0,-62.5,2023,277,0.2
-17.5,-63.75,2023,277,0.28
-17.5,-63.125,2023,277,0.29
-17.5,-62.5,2023,277,0.28
-17.0,-63.75,2023,277,0.32
-17.0,-63.125,2023,277,0.32
-17.0,-62.5,2023,277,0.35
-16.5,-63.75,2023,277,0.34
-16.5,-63.125,2023,277,0.34
-16.5,-62.5,2023,277,0.38
-18.5,-63.75,2023,278,0.27
-18.5,-63.125,2023,278,0.22
-18.5,-62.5,2023,278,0.21
-18.0,-63.75,2023,278,0.31
-18.0,-63.125,2023,278,0.24
-18.0,-62.5,2023,278,0.22
-17.5,-63.75,2023,278,0.28
-17.5,-63.125,2023,278,0.3
-17.5,-62.5,2023,278,0.29
-17.0,-63.75,2023,278,0.32
-17.0,-63.125,2023,278,0.32
-17.0,-62.5,2023,278,0.34
-16.5,-63.75,2023,278,0.34
-16.5,-63.125,2023,278,0.35
-16.5,-62.5,2023,278,0.36
-18.5,-63.75,2023,279,0.26
-18.5,-63.125,2023,279,0.21
-18.5,-62.5,2023,279,0.2
-18.0,-63.75,2023,279,0.3
-18.0,-63.125,2023,279,0.23
-18.0,-62.5,2023,279,0.2
-17.5,-63.75,2023,279,0.26
-17.5,-63.125,2023,279,0.27
-17.5,-62.5,2023,279,0.27
-17.0,-63.75,2023,279,0.3
-17.0,-63.125,2023,279,0.3
-17.0,-62.5,2023,279,0.32
-16.5,-63.75,2023,279,0.33
-16.5,-63.125,2023,279,0.33
-16.5,-62.5,2023,279,0.33
-18.5,-63.75,2023,280,0.37
-18.5,-63.125,2023,280,0.36
-18.5,-62.5,2023,280,0.36
-18.0,-63.75,2023,280,0.4
-18.0,-63.125,2023,280,0.36
-18.0,-62.5,2023,280,0.35
-17.5,-63.75,2023,280,0.31
-17.5,-63.125,2023,280,0.36
-17.5,-62.5,2023,280,0.37
-17.0,-63.75,2023,280,0.31
-17.0,-63.125,2023,280,0.35
-17.0,-62.5,2023,280,0.4
-16.5,-63.75,2023,280,0.33
-16.5,-63.125,2023,280,0.43
-16.5,-62.5,2023,280,0.42
-18.5,-63.75,2023,281,0.45
-18.5,-63.125,2023,281,0.44
-18.5,-62.5,2023,281,0.44
-18.0,-63.75,2023,281,0.5
-18.0,-63.125,2023,281,0.45
-18.0,-62.5,2023,281,0.45
-17.5,-63.75,2023,281,0.49
-17.5,-63.125,2023,281,0.51
-17.5,-62.5,2023,281,0.5
-17.0,-63.75,2023,281,0.63
-17.0,-63.125,2023,281,0.55
-17.0,-62.5,2023,281,0.53
-16.5,-63.75,2023,281,0.56
-16.5,-63.125,2023,281,0.51
-16.5,-62.5,2023,281,0.52
-18.5,-63.75,2023,282,0.39
-18.5,-63.125,2023,282,0.34
-18.5,-62.5,2023,282,0.32
-18.0,-63.75,2023,282,0.43
-18.0,-63.125,2023,282,0.34
-18.0,-62.5,2023,282,0.32
-17.5,-63.75,2023,282,0.38
-17.5,-63.125,2023,282,0.37
-17.5,-62.5,2023,282,0.4
-17.0,-63.75,2023,282,0.59
-17.0,-63.125,2023,282,0.43
-17.0,-62.5,2023,282,0.48
-16.5,-63.75,2023,282,0.5
-16.5,-63.125,2023,282,0.41
-16.5,-62.5,2023,282,0.47
-18.5,-63.75,2023,283,0.38
-18.5,-63.125,2023,283,0.31
-18.5,-62.5,2023,283,0.27
-18.0,-63.75,2023,283,0.42
-18.0,-63.125,2023,283,0.31
-18.0,-62.5,2023,283,0.28
-17.5,-63.75,2023,283,0.37
-17.5,-63.125,2023,283,0.35
-17.5,-62.5,2023,283,0.38
-17.0,-63.75,2023,283,0.58
-17.0,-63.125,2023,283,0.4
-17.0,-62.5,2023,283,0.47
-16.5,-63.75,2023,283,0.48
-16.5,-63.125,2023,283,0.39
-16.5,-62.5,2023,283,0.47
-18.5,-63.75,2023,284,0.37
-18.5,-63.125,2023,284,0.28
-18.5,-62.5,2023,284,0.25
-18.0,-63.75,2023,284,0.41
-18.0,-63.125,2023,284,0.29
-18.0,-62.5,2023,284,0.26
-17.5,-63.75,2023,284,0.36
-17.5,-63.125,2023,284,0.34
-17.5,-62.5,2023,284,0.36
-17.0,-63.75,2023,284,0.55
-17.0,-63.125,2023,284,0.39
-17.0,-62.5,2023,284,0.47
-16.5,-63.75,2023,284,0.45
-16.5,-63.125,2023,284,0.37
-16.5,-62.5,2023,284,0.46
-18.5,-63.75,2023,285,0.41
-18.5,-63.125,2023,285,0.38
-18.5,-62.5,2023,285,0.36
-18.0,-63.75,2023,285,0.46
-18.0,-63.125,2023,285,0.39
-18.0,-62.5,2023,285,0.37
-17.5,-63.75,2023,285,0.42
-17.5,-63.125,2023,285,0.41
-17.5,-62.5,2023,285,0.42
-17.0,-63.75,2023,285,0.58
-17.0,-63.125,2023,285,0.42
-17.0,-62.5,2023,285,0.47
-16.5,-63.75,2023,285,0.47
-16.5,-63.125,2023,285,0.37
-16.5,-62.5,2023,285,0.46
-18.5,-63.75,2023,286,0.39
-18.5,-63.125,2023,286,0.32
-18.5,-62.5,2023,286,0.29
-18.0,-63.75,2023,286,0.42
-18.0,-63.125,2023,286,0.32
-18.0,-62.5,2023,286,0.29
-17.5,-63.75,2023,286,0.37
-17.5,-63.125,2023,286,0.35
-17.5,-62.5,2023,286,0.38
