-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-18.73,-64.3,2023,277,-999.0
-18.73,-62.23,2023,277,-999.0
-16.35,-64.3,2023,277,-999.0
-16.35,-62.23,2023,277,-999.0
-18.73,-64.3,2023,278,-999.0
-18.73,-62.23,2023,278,-999.0
-16.35,-64.3,2023,278,-999.0
-16.35,-62.23,2023,278,-999.0
-18.73,-64.3,2023,279,-999.0
-18.73,-62.23,2023,279,-999.0
-16.35,-64.3,2023,279,-999.0
-16.35,-62.23,2023,279,-999.0
-18.73,-64.3,2023,280,-999.0
-18.73,-62.23,2023,280,-999.0
-16.35,-64.3,2023,280,-999.0
-16.35,-62.23,2023,280,-999.0
-18.73,-64.3,2023,281,-999.0
-18.73,-62.23,2023,281,-999.0
-16.35,-64.3,2023,281,-999.0
-16.35,-62.23,2023,281,-999.0
-18.73,-64.3,2023,282,-999.0
-18.73,-62.23,2023,282,-999.0
-16.35,-64.3,2023,282,-999.0
-16.35,-62.23,2023,282,-999.0
-18.73,-64.3,2023,283,-999.0
-18.73,-62.23,2023,283,-999.0
-16.35,-64.3,2023,283,-999.0
-16.35,-62.23,2023,283,-999.0
-18.73,-64.3,2023,284,-999.0
-18.73,-62.23,2023,284,-999.0
-16.35,-64.3,2023,284,-999.0
-16.35,-62.23,2023,284,-999.0
-18.73,-64.3,2023,285,-999.0
-18.73,-62.23,2023,285,-999.0
-16.35,-64.3,2023,285,-999.0
-16.35,-62.23,2023,285,-999.0
-18.73,-64.3,2023,286,-999.0
-18.73,-62.23,2023,286,-999.0
-16.35,-64.3,2023,286,-999.0
-16.35,-62.23,2023,286,-999.0
-18.73,-64.3,2023,287,-999.0
-18.73,-62.23,2023,287,-999.0
-16.35,-64.3,2023,287,-999.0
-16.35,-62.23,2023,287,-999.0
-18.73,-64.3,2023,288,-999.0
-18.73,-62.23,2023,288,-999.0
-16.35,-64.3,2023,288,-999.0
-16.35,-62.23,2023,288,-999.0
-18.73,-64.3,2023,289,-999.0
-18.73,-62.23,2023,289,-999.0
-16.35,-64.3,2023,289,-999.0
-16.35,-62.23,2023,289,-999.0
-18.73,-64.3,2023,290,-999.0
-18.73,-62.23,2023,290,-999.0
-16.35,-64.3,2023,290,-999.0
-16.35,-62.23,2023,290,-999.0
-18.73,-64.3,2023,291,-999.0
-18.73,-62.23,2023,291,-999.0
-16.35,-64.3,2023,291,-999.0
-16.35,-62.23,2023,291,-999.0
-18.73,-64.3,2023,292,-999.0
-18.73,-62.23,2023,292,-999.0
-16.35,-64.3,2023,292,-999.0
-16.35,-62.23,2023,292,-999.0
-18.73,-64.3,2023,293,-999.0
-18.73,-62.23,2023,293,-999.0
-16.35,-64.3,2023,293,-999.0
-16.35,-62.23,2023,293,-999.0
-18.73,-64.3,2023,294,-999.0
-18.73,-62.23,2023,294,-999.0
-16.35,-64.3,2023,294,-999.0
-16.35,-62.23,2023,294,-999.0
-18.73,-64.3,2023,295,-999.0
-18.73,-62.23,2023,295,-999.0
-16.35,-64.3,2023,295,-999.0
-16.35,-62.23,2023,295,-999.0
-18.73,-64.3,2023,296,-999.0
-18.73,-62.23,2023,296,-999.0
-16.35,-64.3,2023,296,-999.0
-16.35,-62.23,2023,296,-999.0
-18.73,-64.3,2023,297,-999.0
-18.73,-62.23,2023,297,-999.0
-16.35,-64.3,2023,297,-999.0
-16.35,-62.23,2023,297,-999.0
-18.73,-64.3,2023,298,-999.0
-18.73,-62.23,2023,298,-999.0
-16.35,-64.3,2023,298,-999.0
-16.35,-62.23,2023,298,-999.0
-18.73,-64.3,2023,299,-999.0
-18.73,-62.23,2023,299,-999.0
-16.35,-64.3,2023,299,-999.0
-16.35,-62.23,2023,299,-999.0
-18.73,-64.3,2023,300,-999.0
-18.73,-62.23,2023,300,-999.0
-16.35,-64.3,2023,300,-999.0
-16.35,-62.23,2023,300,-999.0
-18.73,-64.3,2023,301,-999.0
-18.73,-62.23,2023,301,-999.0
-16.35,-64.3,2023,301,-999.0
-16.35,-62.23,2023,301,-999.0
-18.73,-64.3,2023,302,-999.0
-18.73,-62.23,2023,302,-999.0
-16.35,-64.3,2023,302,-999.0
-16.35,-62.23,2023,302,-999.0
-18.73,-64.3,2023,303,-999.0
