-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,DOY,PS
-18.5,-63.75,2023,277,85.54
-18.5,-63.125,2023,277,95.14
-18.5,-62.5,2023,277,96.82
-18.0,-63.75,2023,277,87.54
-18.0,-63.125,2023,277,95.18
-18.0,-62.5,2023,277,97.09
-17.5,-63.75,2023,277,94.8
-17.5,-63.125,2023,277,96.72
-17.5,-62.5,2023,277,97.42
-17.0,-63.75,2023,277,97.67
-17.0,-63.125,2023,277,97.7
-17.0,-62.5,2023,277,97.44
-16.5,-63.75,2023,277,98.01
-16.5,-63.125,2023,277,97.84
-16.5,-62.5,2023,277,96.29
-18.5,-63.75,2023,278,85.42
-18.5,-63.125,2023,278,95.07
-18.5,-62.5,2023,278,96.76
-18.0,-63.75,2023,278,87.5
-18.0,-63.125,2023,278,95.15
-18.0,-62.5,2023,278,97.05
-17.5,-63.75,2023,278,94.83
-17.5,-63.125,2023,278,96.73
-17.5,-62.5,2023,278,97.42
-17.0,-63.75,2023,278,97.75
-17.0,-63.125,2023,278,97.75
-17.0,-62.5,2023,278,97.47
-16.5,-63.75,2023,278,98.11
-16.5,-63.125,2023,278,97.91
-16.5,-62.5,2023,278,96.33
-18.5,-63.75,2023,279,85.18
-18.5,-63.125,2023,279,94.66
-18.5,-62.5,2023,279,96.37
-18.0,-63.75,2023,279,87.32
-18.0,-63.125,2023,279,94.82
-18.0,-62.5,2023,279,96.71
-17.5,-63.75,2023,279,94.6
-17.5,-63.125,2023,279,96.45
-17.5,-62.5,2023,279,97.13
-17.0,-63.75,2023,279,97.53
-17.0,-63.125,2023,279,97.51
-17.0,-62.5,2023,279,97.25
-16.5,-63.75,2023,279,97.94
-16.5,-63.125,2023,279,97.74
-16.5,-62.5,2023,279,96.19
-18.5,-63.75,2023,280,85.7
-18.5,-63.125,2023,280,95.36
-18.5,-62.5,2023,280,97.03
-18.0,-63.75,2023,280,87.72
-18.0,-63.125,2023,280,95.38
-18.0,-62.5,2023,280,97.27
-17.5,-63.75,2023,280,94.95
-17.5,-63.125,2023,280,96.9
-17.5,-62.5,2023,280,97.59
-17.0,-63.75,2023,280,97.83
-17.0,-63.125,2023,280,97.87
-17.0,-62.5,2023,280,97.61
-16.5,-63.75,2023,280,98.17
-16.5,-63.125,2023,280,98.01
-16.5,-62.5,2023,280,96.46
