-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,DOY,QV2M
-18.5,-63.75,2023,277,11.43
-18.5,-63.125,2023,277,11.12
-18.5,-62.5,2023,277,10.78
-18.0,-63.75,2023,277,12.72
-18.0,-63.125,2023,277,11.64
-18.0,-62.5,2023,277,11.36
-17.5,-63.75,2023,277,13.21
-17.5,-63.125,2023,277,12.12
-17.5,-62.5,2023,277,11.72
-17.0,-63.75,2023,277,13.07
-17.0,-63.125,2023,277,12.52
-17.0,-62.5,2023,277,12.16
-16.5,-63.75,2023,277,13.3
-16.5,-63.125,2023,277,12.81
-16.5,-62.5,2023,277,13.21
-18.5,-63.75,2023,278,10.38
-18.5,-63.125,2023,278,9.83
-18.5,-62.5,2023,278,9.95
-18.0,-63.75,2023,278,10.99
-18.0,-63.125,2023,278,10.19
-18.0,-62.5,2023,278,10.53
-17.5,-63.75,2023,278,11.39
-17.5,-63.125,2023,278,10.85
-17.5,-62.5,2023,278,11.01
-17.0,-63.75,2023,278,11.11
-17.0,-63.125,2023,278,11.39
-17.0,-62.5,2023,278,11.25
-16.5,-63.75,2023,278,11.41
-16.5,-63.125,2023,278,11.45
-16.5,-62.5,2023,278,11.82
-18.5,-63.75,2023,279,12.52
-18.5,-63.125,2023,279,12.61
-18.5,-62.5,2023,279,12.35
-18.0,-63.75,2023,279,12.73
-18.0,-63.125,2023,279,12.53
-18.0,-62.5,2023,279,12.3
-17.5,-63.75,2023,279,12.64
-17.5,-63.125,2023,279,12.35
-17.5,-62.5,2023,279,12.07
-17.0,-63.75,2023,279,12.42
-17.0,-63.125,2023,279,12.29
-17.0,-62.5,2023,279,11.93
-16.5,-63.75,2023,279,12.43
-16.5,-63.125,2023,279,12.29
-16.5,-62.5,2023,279,12.28
-18.5,-63.75,2023,280,13.06
-18.5,-63.125,2023,280,12.95
-18.5,-62.5,2023,280,12.76
-18.0,-63.75,2023,280,13.55
-18.0,-63.125,2023,280,13.1
-18.0,-62.5,2023,280,13.31
-17.5,-63.75,2023,280,13.47
-17.5,-63.125,2023,280,13.21
-17.5,-62.5,2023,280,13.16
-17.0,-63.75,2023,280,12.9
-17.0,-63.125,2023,280,13.08
-17.0,-62.5,2023,280,12.9
-16.5,-63.75,2023,280,13.12
-16.5,-63.125,2023,280,14.07
-16.5,-62.5,2023,280,13.83
-18.5,-63.75,2023,281,9.36
-18.5,-63.125,2023,281,10.17
-18.5,-62.5,2023,281,10.6
-18.0,-63.75,2023,281,10.25
-18.0,-63.125,2023,281,10.34
-18.0,-62.5,2023,281,11.13
-17.5,-63.75,2023,281,11.17
-17.5,-63.125,2023,281,10.97
-17.5,-62.5,2023,281,11.34
-17.0,-63.75,2023,281,11.03
-17.0,-63.125,2023,281,11.34
-17.0,-62.5,2023,281,11.23
-16.5,-63.75,2023,281,11.52
-16.5,-63.125,2023,281,11.47
-16.5,-62.5,2023,281,11.77
-18.5,-63.75,2023,282,9.8
-18.5,-63.125,2023,282,10.3
-18.5,-62.5,2023,282,11.47
