-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M
-18.5,-63.75,2023,277,23.32
-18.5,-63.125,2023,277,29.67
-18.5,-62.5,2023,277,30.01
-18.0,-63.75,2023,277,24.31
-18.0,-63.125,2023,277,29.58
-18.0,-62.5,2023,277,30.24
-17.5,-63.75,2023,277,30.03
-17.5,-63.125,2023,277,30.61
-17.5,-62.5,2023,277,30.77
-17.0,-63.75,2023,277,32.75
-17.0,-63.125,2023,277,31.76
-17.0,-62.5,2023,277,31.43
-16.5,-63.75,2023,277,33.52
-16.5,-63.125,2023,277,32.86
-16.5,-62.5,2023,277,30.98
-18.5,-63.75,2023,278,22.21
-18.5,-63.125,2023,278,28.8
-18.5,-62.5,2023,278,29.33
-18.0,-63.75,2023,278,23.12
-18.0,-63.125,2023,278,28.79
-18.0,-62.5,2023,278,29.53
-17.5,-63.75,2023,278,28.88
-17.5,-63.125,2023,278,29.71
-17.5,-62.5,2023,278,30.2
-17.0,-63.75,2023,278,31.71
-17.0,-63.125,2023,278,30.85
-17.0,-62.5,2023,278,31.07
-16.5,-63.75,2023,278,32.23
-16.5,-63.125,2023,278,31.65
-16.5,-62.5,2023,278,30.5
-18.5,-63.75,2023,279,26.5
-18.5,-63.125,2023,279,33.7
-18.5,-62.5,2023,279,33.94
-18.0,-63.75,2023,279,27.14
-18.0,-63.125,2023,279,33.24
-18.0,-62.5,2023,279,34.14
-17.5,-63.75,2023,279,33.02
-17.5,-63.125,2023,279,34.25
-17.5,-62.5,2023,279,34.79
-17.0,-63.75,2023,279,35.38
-17.0,-63.125,2023,279,34.83
-17.0,-62.5,2023,279,35.25
-16.5,-63.75,2023,279,35.18
-16.5,-63.125,2023,279,34.96
-16.5,-62.5,2023,279,33.5
-18.5,-63.75,2023,280,21.99
