-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2023 through 10/03/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MWET
-18.5,-63.75,2023,277,18.32
-18.5,-63.125,2023,277,22.11
-18.5,-62.5,2023,277,22.28
-18.0,-63.75,2023,277,19.89
-18.0,-63.125,2023,277,22.49
-18.0,-62.5,2023,277,22.85
-17.5,-63.75,2023,277,23.71
-17.5,-63.125,2023,277,23.49
-17.5,-62.5,2023,277,23.39
-17.0,-63.75,2023,277,25.25
-17.0,-63.125,2023,277,24.43
-17.0,-62.5,2023,277,24.02
-16.5,-63.75,2023,277,25.8
-16.5,-63.125,2023,277,25.17
-16.5,-62.5,2023,277,24.35
-18.5,-63.75,2023,278,17.06
-18.5,-63.125,2023,278,20.74
-18.5,-62.5,2023,278,21.24
-18.0,-63.75,2023,278,18.19
-18.0,-63.125,2023,278,21.04
-18.0,-62.5,2023,278,21.85
-17.5,-63.75,2023,278,22.0
-17.5,-63.125,2023,278,22.14
-17.5,-62.5,2023,278,22.6
-17.0,-63.75,2023,278,23.44
-17.0,-63.125,2023,278,23.21
-17.0,-62.5,2023,278,23.22
-16.5,-63.75,2023,278,23.94
-16.5,-63.125,2023,278,23.69
-16.5,-62.5,2023,278,23.23
-18.5,-63.75,2023,279,20.73
-18.5,-63.125,2023,279,25.21
-18.5,-62.5,2023,279,25.31
-18.0,-63.75,2023,279,21.37
-18.0,-63.125,2023,279,24.95
-18.0,-62.5,2023,279,25.41
-17.5,-63.75,2023,279,24.89
-17.5,-63.125,2023,279,25.48
-17.5,-62.5,2023,279,25.63
-17.0,-63.75,2023,279,26.17
-17.0,-63.125,2023,279,25.82
-17.0,-62.5,2023,279,25.77
-16.5,-63.75,2023,279,26.11
-16.5,-63.125,2023,279,25.9
-16.5,-62.5,2023,279,25.04
-18.5,-63.75,2023,280,18.84
-18.5,-63.125,2023,280,22.21
-18.5,-62.5,2023,280,22.73
-18.0,-63.75,2023,280,20.2
-18.0,-63.125,2023,280,22.69
-18.0,-62.5,2023,280,23.42
-17.5,-63.75,2023,280,24.09
-17.5,-63.125,2023,280,24.06
-17.5,-62.5,2023,280,24.31
-17.0,-63.75,2023,280,25.63
-17.0,-63.125,2023,280,25.13
-17.0,-62.5,2023,280,25.08
-16.5,-63.75,2023,280,26.16
-16.5,-63.125,2023,280,26.02
-16.5,-62.5,2023,280,25.3
-18.5,-63.75,2023,281,13.37
-18.5,-63.125,2023,281,17.3
-18.5,-62.5,2023,281,18.1
-18.0,-63.75,2023,281,14.98
-18.0,-63.125,2023,281,17.36
-18.0,-62.5,2023,281,18.49
-17.5,-63.75,2023,281,18.63
-17.5,-63.125,2023,281,18.64
-17.5,-62.5,2023,281,19.13
-17.0,-63.75,2023,281,19.83
-17.0,-63.125,2023,281,19.59
-17.0,-62.5,2023,281,19.76
-16.5,-63.75,2023,281,20.36
-16.5,-63.125,2023,281,20.23
-16.5,-62.5,2023,281,20.18
-18.5,-63.75,2023,282,16.1
-18.5,-63.125,2023,282,20.02
-18.5,-62.5,2023,282,21.29
-18.0,-63.75,2023,282,17.39
-18.0,-63.125,2023,282,20.09
-18.0,-62.5,2023,282,21.4
-17.5,-63.75,2023,282,20.83
-17.5,-63.125,2023,282,20.92
-17.5,-62.5,2023,282,21.94
-17.0,-63.75,2023,282,21.21
-17.0,-63.125,2023,282,21.49
-17.0,-62.5,2023,282,22.36
-16.5,-63.75,2023,282,21.09
-16.5,-63.125,2023,282,21.83
-16.5,-62.5,2023,282,22.64
-18.5,-63.75,2023,283,18.97
-18.5,-63.125,2023,283,23.44
-18.5,-62.5,2023,283,24.32
-18.0,-63.75,2023,283,19.82
-18.0,-63.125,2023,283,23.51
