-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2MDEW
-18.5,-63.75,2024,278,8.62
-18.5,-63.125,2024,278,8.99
-18.5,-62.5,2024,278,8.3
-18.0,-63.75,2024,278,10.09
-18.0,-63.125,2024,278,9.75
-18.0,-62.5,2024,278,8.97
-17.5,-63.75,2024,278,11.18
-17.5,-63.125,2024,278,10.4
-17.5,-62.5,2024,278,9.56
-17.0,-63.75,2024,278,11.26
-17.0,-63.125,2024,278,10.62
-17.0,-62.5,2024,278,10.21
-16.5,-63.75,2024,278,10.94
-16.5,-63.125,2024,278,10.51
-16.5,-62.5,2024,278,11.07
-18.5,-63.75,2024,279,10.53
-18.5,-63.125,2024,279,13.44
-18.5,-62.5,2024,279,13.12
-18.0,-63.75,2024,279,12.3
-18.0,-63.125,2024,279,13.75
-18.0,-62.5,2024,279,13.43
-17.5,-63.75,2024,279,13.98
-17.5,-63.125,2024,279,14.3
-17.5,-62.5,2024,279,13.52
-17.0,-63.75,2024,279,14.29
-17.0,-63.125,2024,279,13.94
-17.0,-62.5,2024,279,14.21
-16.5,-63.75,2024,279,14.16
-16.5,-63.125,2024,279,13.88
-16.5,-62.5,2024,279,14.97
-18.5,-63.75,2024,280,12.41
-18.5,-63.125,2024,280,14.72
-18.5,-62.5,2024,280,14.76
-18.0,-63.75,2024,280,14.0
-18.0,-63.125,2024,280,15.3
-18.0,-62.5,2024,280,15.27
-17.5,-63.75,2024,280,15.97
-17.5,-63.125,2024,280,16.04
-17.5,-62.5,2024,280,15.53
-17.0,-63.75,2024,280,16.05
-17.0,-63.125,2024,280,15.75
-17.0,-62.5,2024,280,15.65
-16.5,-63.75,2024,280,16.07
-16.5,-63.125,2024,280,15.45
-16.5,-62.5,2024,280,15.64
-18.5,-63.75,2024,281,10.93
-18.5,-63.125,2024,281,14.26
-18.5,-62.5,2024,281,15.61
-18.0,-63.75,2024,281,12.72
-18.0,-63.125,2024,281,14.94
-18.0,-62.5,2024,281,15.9
-17.5,-63.75,2024,281,14.96
-17.5,-63.125,2024,281,15.72
-17.5,-62.5,2024,281,15.93
-17.0,-63.75,2024,281,15.45
-17.0,-63.125,2024,281,15.68
-17.0,-62.5,2024,281,15.99
-16.5,-63.75,2024,281,15.96
-16.5,-63.125,2024,281,15.85
-16.5,-62.5,2024,281,16.11
-18.5,-63.75,2024,282,14.17
-18.5,-63.125,2024,282,17.15
-18.5,-62.5,2024,282,17.8
-18.0,-63.75,2024,282,15.8
-18.0,-63.125,2024,282,17.98
-18.0,-62.5,2024,282,18.28
-17.5,-63.75,2024,282,18.19
-17.5,-63.125,2024,282,19.05
-17.5,-62.5,2024,282,18.07
-17.0,-63.75,2024,282,17.73
-17.0,-63.125,2024,282,18.14
-17.0,-62.5,2024,282,17.61
-16.5,-63.75,2024,282,17.26
-16.5,-63.125,2024,282,17.27
-16.5,-62.5,2024,282,16.97
-18.5,-63.75,2024,283,16.46
-18.5,-63.125,2024,283,21.43
-18.5,-62.5,2024,283,22.25
-18.0,-63.75,2024,283,18.05
-18.0,-63.125,2024,283,21.68
-18.0,-62.5,2024,283,22.35
-17.5,-63.75,2024,283,21.09
-17.5,-63.125,2024,283,22.63
-17.5,-62.5,2024,283,22.09
-17.0,-63.75,2024,283,22.39
-17.0,-63.125,2024,283,22.67
-17.0,-62.5,2024,283,21.37
-16.5,-63.75,2024,283,22.11
-16.5,-63.125,2024,283,20.8
-16.5,-62.5,2024,283,20.54
-18.5,-63.75,2024,284,14.49
-18.5,-63.125,2024,284,19.92
-18.5,-62.5,2024,284,21.4
-18.0,-63.75,2024,284,16.25
-18.0,-63.125,2024,284,20.19
-18.0,-62.5,2024,284,21.65
-17.5,-63.75,2024,284,19.19
-17.5,-63.125,2024,284,21.49
-17.5,-62.5,2024,284,21.91
-17.0,-63.75,2024,284,21.51
-17.0,-63.125,2024,284,22.49
-17.0,-62.5,2024,284,21.92
-16.5,-63.75,2024,284,22.38
-16.5,-63.125,2024,284,22.24
-16.5,-62.5,2024,284,21.65
-18.5,-63.75,2024,285,15.85
-18.5,-63.125,2024,285,18.41
-18.5,-62.5,2024,285,18.64
-18.0,-63.75,2024,285,17.65
-18.0,-63.125,2024,285,19.34
-18.0,-62.5,2024,285,19.7
-17.5,-63.75,2024,285,20.2
-17.5,-63.125,2024,285,20.47
-17.5,-62.5,2024,285,20.76
-17.0,-63.75,2024,285,21.26
-17.0,-63.125,2024,285,21.14
-17.0,-62.5,2024,285,21.18
-16.5,-63.75,2024,285,20.72
-16.5,-63.125,2024,285,20.41
-16.5,-62.5,2024,285,20.93
-18.5,-63.75,2024,286,15.88
-18.5,-63.125,2024,286,19.26
-18.5,-62.5,2024,286,20.36
-18.0,-63.75,2024,286,17.24
-18.0,-63.125,2024,286,19.46
-18.0,-62.5,2024,286,20.7
-17.5,-63.75,2024,286,19.28
-17.5,-63.125,2024,286,20.11
-17.5,-62.5,2024,286,20.74
-17.0,-63.75,2024,286,20.29
-17.0,-63.125,2024,286,20.19
-17.0,-62.5,2024,286,20.06
-16.5,-63.75,2024,286,19.88
-16.5,-63.125,2024,286,19.41
-16.5,-62.5,2024,286,19.5
-18.5,-63.75,2024,287,14.56
-18.5,-63.125,2024,287,17.69
-18.5,-62.5,2024,287,19.02
-18.0,-63.75,2024,287,15.82
-18.0,-63.125,2024,287,17.92
-18.0,-62.5,2024,287,19.51
-17.5,-63.75,2024,287,17.9
-17.5,-63.125,2024,287,18.82
-17.5,-62.5,2024,287,19.8
-17.0,-63.75,2024,287,19.13
-17.0,-63.125,2024,287,18.87
-17.0,-62.5,2024,287,19.09
-16.5,-63.75,2024,287,18.38
-16.5,-63.125,2024,287,17.95
-16.5,-62.5,2024,287,18.3
-18.5,-63.75,2024,288,13.17
-18.5,-63.125,2024,288,16.7
-18.5,-62.5,2024,288,18.12
-18.0,-63.75,2024,288,14.57
-18.0,-63.125,2024,288,17.14
-18.0,-62.5,2024,288,18.53
-17.5,-63.75,2024,288,17.04
-17.5,-63.125,2024,288,18.31
-17.5,-62.5,2024,288,18.88
-17.0,-63.75,2024,288,19.12
-17.0,-63.125,2024,288,18.6
-17.0,-62.5,2024,288,18.24
-16.5,-63.75,2024,288,18.84
-16.5,-63.125,2024,288,17.75
-16.5,-62.5,2024,288,17.35
-18.5,-63.75,2024,289,14.72
-18.5,-63.125,2024,289,18.06
-18.5,-62.5,2024,289,19.51
-18.0,-63.75,2024,289,16.29
-18.0,-63.125,2024,289,18.87
-18.0,-62.5,2024,289,20.41
-17.5,-63.75,2024,289,18.34
-17.5,-63.125,2024,289,19.89
-17.5,-62.5,2024,289,20.25
-17.0,-63.75,2024,289,19.58
-17.0,-63.125,2024,289,19.29
-17.0,-62.5,2024,289,18.54
-16.5,-63.75,2024,289,18.84
-16.5,-63.125,2024,289,18.01
-16.5,-62.5,2024,289,17.39
-18.5,-63.75,2024,290,15.44
-18.5,-63.125,2024,290,20.93
-18.5,-62.5,2024,290,22.1
-18.0,-63.75,2024,290,17.47
-18.0,-63.125,2024,290,20.83
-18.0,-62.5,2024,290,22.17
-17.5,-63.75,2024,290,20.44
-17.5,-63.125,2024,290,21.83
-17.5,-62.5,2024,290,22.08
-17.0,-63.75,2024,290,21.7
-17.0,-63.125,2024,290,21.81
-17.0,-62.5,2024,290,21.39
-16.5,-63.75,2024,290,21.04
-16.5,-63.125,2024,290,20.72
-16.5,-62.5,2024,290,20.16
-18.5,-63.75,2024,291,15.14
-18.5,-63.125,2024,291,19.36
-18.5,-62.5,2024,291,20.72
-18.0,-63.75,2024,291,16.85
-18.0,-63.125,2024,291,20.04
-18.0,-62.5,2024,291,21.26
-17.5,-63.75,2024,291,19.77
-17.5,-63.125,2024,291,21.44
-17.5,-62.5,2024,291,22.03
-17.0,-63.75,2024,291,21.35
-17.0,-63.125,2024,291,22.31
-17.0,-62.5,2024,291,22.18
-16.5,-63.75,2024,291,20.98
-16.5,-63.125,2024,291,22.3
-16.5,-62.5,2024,291,21.97
-18.5,-63.75,2024,292,16.25
-18.5,-63.125,2024,292,20.17
-18.5,-62.5,2024,292,21.33
-18.0,-63.75,2024,292,17.31
-18.0,-63.125,2024,292,20.27
-18.0,-62.5,2024,292,21.44
-17.5,-63.75,2024,292,19.41
-17.5,-63.125,2024,292,20.88
-17.5,-62.5,2024,292,21.61
-17.0,-63.75,2024,292,20.67
-17.0,-63.125,2024,292,21.2
-17.0,-62.5,2024,292,21.36
-16.5,-63.75,2024,292,20.29
-16.5,-63.125,2024,292,20.96
-16.5,-62.5,2024,292,21.27
-18.5,-63.75,2024,293,15.3
-18.5,-63.125,2024,293,18.9
-18.5,-62.5,2024,293,19.04
-18.0,-63.75,2024,293,16.76
-18.0,-63.125,2024,293,19.69
-18.0,-62.5,2024,293,20.04
-17.5,-63.75,2024,293,20.17
-17.5,-63.125,2024,293,20.83
-17.5,-62.5,2024,293,21.14
-17.0,-63.75,2024,293,22.01
-17.0,-63.125,2024,293,21.77
-17.0,-62.5,2024,293,21.88
-16.5,-63.75,2024,293,22.67
-16.5,-63.125,2024,293,22.59
-16.5,-62.5,2024,293,21.65
-18.5,-63.75,2024,294,15.12
-18.5,-63.125,2024,294,17.93
-18.5,-62.5,2024,294,17.16
-18.0,-63.75,2024,294,17.05
-18.0,-63.125,2024,294,18.69
-18.0,-62.5,2024,294,18.38
-17.5,-63.75,2024,294,19.49
-17.5,-63.125,2024,294,19.63
-17.5,-62.5,2024,294,19.41
-17.0,-63.75,2024,294,20.72
-17.0,-63.125,2024,294,20.24
-17.0,-62.5,2024,294,19.74
-16.5,-63.75,2024,294,20.2
-16.5,-63.125,2024,294,19.98
-16.5,-62.5,2024,294,19.54
-18.5,-63.75,2024,295,16.11
-18.5,-63.125,2024,295,19.35
-18.5,-62.5,2024,295,19.78
-18.0,-63.75,2024,295,17.72
-18.0,-63.125,2024,295,19.82
-18.0,-62.5,2024,295,20.43
-17.5,-63.75,2024,295,20.25
-17.5,-63.125,2024,295,20.71
-17.5,-62.5,2024,295,20.81
-17.0,-63.75,2024,295,21.36
-17.0,-63.125,2024,295,20.77
-17.0,-62.5,2024,295,20.42
-16.5,-63.75,2024,295,20.94
-16.5,-63.125,2024,295,20.24
-16.5,-62.5,2024,295,20.36
-18.5,-63.75,2024,296,15.92
-18.5,-63.125,2024,296,19.7
-18.5,-62.5,2024,296,20.45
-18.0,-63.75,2024,296,17.92
-18.0,-63.125,2024,296,20.14
-18.0,-62.5,2024,296,20.77
-17.5,-63.75,2024,296,20.65
-17.5,-63.125,2024,296,20.91
-17.5,-62.5,2024,296,20.99
-17.0,-63.75,2024,296,21.8
-17.0,-63.125,2024,296,20.97
-17.0,-62.5,2024,296,20.57
-16.5,-63.75,2024,296,21.39
-16.5,-63.125,2024,296,20.85
-16.5,-62.5,2024,296,20.66
-18.5,-63.75,2024,297,14.89
-18.5,-63.125,2024,297,18.11
-18.5,-62.5,2024,297,19.11
-18.0,-63.75,2024,297,16.59
-18.0,-63.125,2024,297,18.76
-18.0,-62.5,2024,297,19.8
-17.5,-63.75,2024,297,19.04
-17.5,-63.125,2024,297,19.81
-17.5,-62.5,2024,297,20.22
-17.0,-63.75,2024,297,19.73
-17.0,-63.125,2024,297,20.18
-17.0,-62.5,2024,297,20.45
-16.5,-63.75,2024,297,19.49
-16.5,-63.125,2024,297,20.28
-16.5,-62.5,2024,297,20.68
-18.5,-63.75,2024,298,16.39
-18.5,-63.125,2024,298,20.11
-18.5,-62.5,2024,298,20.86
-18.0,-63.75,2024,298,18.46
-18.0,-63.125,2024,298,20.9
-18.0,-62.5,2024,298,21.37
-17.5,-63.75,2024,298,20.92
-17.5,-63.125,2024,298,21.28
-17.5,-62.5,2024,298,21.34
-17.0,-63.75,2024,298,21.27
-17.0,-63.125,2024,298,21.18
-17.0,-62.5,2024,298,20.98
-16.5,-63.75,2024,298,21.06
-16.5,-63.125,2024,298,20.8
-16.5,-62.5,2024,298,20.94
-18.5,-63.75,2024,299,17.64
-18.5,-63.125,2024,299,20.54
-18.5,-62.5,2024,299,20.44
-18.0,-63.75,2024,299,19.65
-18.0,-63.125,2024,299,21.37
-18.0,-62.5,2024,299,21.46
-17.5,-63.75,2024,299,22.92
-17.5,-63.125,2024,299,22.71
-17.5,-62.5,2024,299,22.27
-17.0,-63.75,2024,299,24.11
-17.0,-63.125,2024,299,23.29
-17.0,-62.5,2024,299,22.59
-16.5,-63.75,2024,299,23.33
-16.5,-63.125,2024,299,22.41
-16.5,-62.5,2024,299,22.23
-18.5,-63.75,2024,300,15.08
-18.5,-63.125,2024,300,19.05
-18.5,-62.5,2024,300,19.98
-18.0,-63.75,2024,300,16.3
-18.0,-63.125,2024,300,19.38
-18.0,-62.5,2024,300,20.59
-17.5,-63.75,2024,300,20.07
-17.5,-63.125,2024,300,20.6
-17.5,-62.5,2024,300,21.07
-17.0,-63.75,2024,300,21.63
-17.0,-63.125,2024,300,21.44
-17.0,-62.5,2024,300,21.16
-16.5,-63.75,2024,300,22.04
-16.5,-63.125,2024,300,21.46
-16.5,-62.5,2024,300,20.98
-18.5,-63.75,2024,301,12.77
-18.5,-63.125,2024,301,16.95
-18.5,-62.5,2024,301,18.12
-18.0,-63.75,2024,301,14.37
-18.0,-63.125,2024,301,17.34
-18.0,-62.5,2024,301,18.58
-17.5,-63.75,2024,301,17.18
-17.5,-63.125,2024,301,18.66
-17.5,-62.5,2024,301,19.38
-17.0,-63.75,2024,301,19.19
-17.0,-63.125,2024,301,19.53
-17.0,-62.5,2024,301,19.34
-16.5,-63.75,2024,301,19.04
-16.5,-63.125,2024,301,18.42
-16.5,-62.5,2024,301,18.89
-18.5,-63.75,2024,302,14.98
-18.5,-63.125,2024,302,19.07
-18.5,-62.5,2024,302,20.29
-18.0,-63.75,2024,302,16.48
-18.0,-63.125,2024,302,19.55
-18.0,-62.5,2024,302,20.38
-17.5,-63.75,2024,302,19.29
-17.5,-63.125,2024,302,20.63
-17.5,-62.5,2024,302,20.8
-17.0,-63.75,2024,302,20.76
-17.0,-63.125,2024,302,21.06
-17.0,-62.5,2024,302,20.78
-16.5,-63.75,2024,302,21.01
-16.5,-63.125,2024,302,20.05
-16.5,-62.5,2024,302,20.52
-18.5,-63.75,2024,303,17.1
-18.5,-63.125,2024,303,20.92
-18.5,-62.5,2024,303,21.39
-18.0,-63.75,2024,303,18.03
-18.0,-63.125,2024,303,21.18
-18.0,-62.5,2024,303,21.54
-17.5,-63.75,2024,303,20.68
-17.5,-63.125,2024,303,22.05
-17.5,-62.5,2024,303,22.12
-17.0,-63.75,2024,303,21.71
-17.0,-63.125,2024,303,22.17
-17.0,-62.5,2024,303,21.92
-16.5,-63.75,2024,303,21.0
-16.5,-63.125,2024,303,21.03
-16.5,-62.5,2024,303,21.35
-18.5,-63.75,2024,304,16.8
-18.5,-63.125,2024,304,20.46
-18.5,-62.5,2024,304,21.08
-18.0,-63.75,2024,304,18.09
