-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,ALLSKY_SFC_LW_DWN
-18.5,-63.5,2024,278,31.23
-18.5,-62.5,2024,278,33.46
-17.5,-63.5,2024,278,33.99
-17.5,-62.5,2024,278,33.95
-16.5,-63.5,2024,278,35.3
-16.5,-62.5,2024,278,34.27
-18.5,-63.5,2024,279,32.25
-18.5,-62.5,2024,279,36.19
-17.5,-63.5,2024,279,35.77
-17.5,-62.5,2024,279,36.49
-16.5,-63.5,2024,279,36.89
-16.5,-62.5,2024,279,36.3
-18.5,-63.5,2024,280,32.59
-18.5,-62.5,2024,280,36.67
-17.5,-63.5,2024,280,35.86
-17.5,-62.5,2024,280,39.29
-16.5,-63.5,2024,280,37.33
-16.5,-62.5,2024,280,37.4
-18.5,-63.5,2024,281,33.14
-18.5,-62.5,2024,281,37.81
-17.5,-63.5,2024,281,37.06
-17.5,-62.5,2024,281,38.3
-16.5,-63.5,2024,281,39.02
-16.5,-62.5,2024,281,38.24
-18.5,-63.5,2024,282,34.72
-18.5,-62.5,2024,282,38.19
-17.5,-63.5,2024,282,37.92
-17.5,-62.5,2024,282,38.4
-16.5,-63.5,2024,282,39.66
-16.5,-62.5,2024,282,38.27
-18.5,-63.5,2024,283,35.53
-18.5,-62.5,2024,283,37.47
-17.5,-63.5,2024,283,37.94
-17.5,-62.5,2024,283,37.77
-16.5,-63.5,2024,283,38.73
-16.5,-62.5,2024,283,37.71
-18.5,-63.5,2024,284,35.66
-18.5,-62.5,2024,284,38.25
-17.5,-63.5,2024,284,37.74
-17.5,-62.5,2024,284,37.88
-16.5,-63.5,2024,284,37.55
-16.5,-62.5,2024,284,37.15
-18.5,-63.5,2024,285,35.23
-18.5,-62.5,2024,285,36.58
-17.5,-63.5,2024,285,37.49
-17.5,-62.5,2024,285,37.22
-16.5,-63.5,2024,285,38.16
-16.5,-62.5,2024,285,37.44
-18.5,-63.5,2024,286,34.96
-18.5,-62.5,2024,286,37.6
-17.5,-63.5,2024,286,37.19
-17.5,-62.5,2024,286,37.0
-16.5,-63.5,2024,286,37.51
-16.5,-62.5,2024,286,37.1
-18.5,-63.5,2024,287,33.85
-18.5,-62.5,2024,287,37.15
-17.5,-63.5,2024,287,36.62
-17.5,-62.5,2024,287,37.43
-16.5,-63.5,2024,287,37.7
-16.5,-62.5,2024,287,37.35
-18.5,-63.5,2024,288,34.17
-18.5,-62.5,2024,288,38.1
-17.5,-63.5,2024,288,37.6
-17.5,-62.5,2024,288,38.81
-16.5,-63.5,2024,288,38.91
-16.5,-62.5,2024,288,38.22
-18.5,-63.5,2024,289,33.72
-18.5,-62.5,2024,289,36.17
-17.5,-63.5,2024,289,36.29
-17.5,-62.5,2024,289,37.34
-16.5,-63.5,2024,289,37.86
-16.5,-62.5,2024,289,37.77
-18.5,-63.5,2024,290,34.31
-18.5,-62.5,2024,290,37.24
-17.5,-63.5,2024,290,36.68
-17.5,-62.5,2024,290,38.14
-16.5,-63.5,2024,290,38.67
-16.5,-62.5,2024,290,38.77
-18.5,-63.5,2024,291,32.96
-18.5,-62.5,2024,291,35.95
-17.5,-63.5,2024,291,36.06
-17.5,-62.5,2024,291,36.45
-16.5,-63.5,2024,291,37.51
-16.5,-62.5,2024,291,36.74
-18.5,-63.5,2024,292,34.66
-18.5,-62.5,2024,292,37.8
-17.5,-63.5,2024,292,38.1
-17.5,-62.5,2024,292,38.25
-16.5,-63.5,2024,292,38.98
-16.5,-62.5,2024,292,37.14
-18.5,-63.5,2024,293,33.38
-18.5,-62.5,2024,293,34.75
-17.5,-63.5,2024,293,35.8
-17.5,-62.5,2024,293,35.34
-16.5,-63.5,2024,293,36.55
-16.5,-62.5,2024,293,35.56
-18.5,-63.5,2024,294,32.65
-18.5,-62.5,2024,294,34.06
-17.5,-63.5,2024,294,35.57
-17.5,-62.5,2024,294,34.73
-16.5,-63.5,2024,294,36.68
-16.5,-62.5,2024,294,35.27
-18.5,-63.5,2024,295,33.91
-18.5,-62.5,2024,295,36.29
-17.5,-63.5,2024,295,37.42
-17.5,-62.5,2024,295,36.87
-16.5,-63.5,2024,295,37.77
-16.5,-62.5,2024,295,36.73
-18.5,-63.5,2024,296,34.24
-18.5,-62.5,2024,296,37.19
-17.5,-63.5,2024,296,37.25
-17.5,-62.5,2024,296,37.69
-16.5,-63.5,2024,296,38.52
-16.5,-62.5,2024,296,37.97
-18.5,-63.5,2024,297,33.89
-18.5,-62.5,2024,297,36.85
-17.5,-63.5,2024,297,36.95
-17.5,-62.5,2024,297,37.0
-16.5,-63.5,2024,297,37.51
-16.5,-62.5,2024,297,36.69
-18.5,-63.5,2024,298,35.35
-18.5,-62.5,2024,298,37.88
-17.5,-63.5,2024,298,37.88
-17.5,-62.5,2024,298,37.64
-16.5,-63.5,2024,298,37.94
-16.5,-62.5,2024,298,37.17
