-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
LAT,LON,YEAR,DOY,CLRSKY_SFC_SW_DWN
-18.5,-63.5,2024,278,19.6
-18.5,-62.5,2024,278,19.1
-17.5,-63.5,2024,278,19.12
-17.5,-62.5,2024,278,19.28
-16.5,-63.5,2024,278,17.77
-16.5,-62.5,2024,278,20.62
-18.5,-63.5,2024,279,22.1
-18.5,-62.5,2024,279,20.4
-17.5,-63.5,2024,279,21.77
-17.5,-62.5,2024,279,19.74
-16.5,-63.5,2024,279,18.47
-16.5,-62.5,2024,279,18.97
-18.5,-63.5,2024,280,20.17
-18.5,-62.5,2024,280,15.25
-17.5,-63.5,2024,280,19.71
-17.5,-62.5,2024,280,15.75
-16.5,-63.5,2024,280,14.08
-16.5,-62.5,2024,280,14.24
-18.5,-63.5,2024,281,18.96
-18.5,-62.5,2024,281,15.32
-17.5,-63.5,2024,281,18.78
-17.5,-62.5,2024,281,15.37
-16.5,-63.5,2024,281,14.98
-16.5,-62.5,2024,281,17.72
-18.5,-63.5,2024,282,20.23
-18.5,-62.5,2024,282,19.36
-17.5,-63.5,2024,282,20.05
-17.5,-62.5,2024,282,19.48
-16.5,-63.5,2024,282,19.44
-16.5,-62.5,2024,282,21.79
-18.5,-63.5,2024,283,20.75
-18.5,-62.5,2024,283,17.99
-17.5,-63.5,2024,283,20.56
-17.5,-62.5,2024,283,18.12
-16.5,-63.5,2024,283,19.2
-16.5,-62.5,2024,283,19.48
-18.5,-63.5,2024,284,21.35
-18.5,-62.5,2024,284,19.02
-17.5,-63.5,2024,284,21.21
-17.5,-62.5,2024,284,19.01
-16.5,-63.5,2024,284,22.4
-16.5,-62.5,2024,284,20.92
-18.5,-63.5,2024,285,26.07
-18.5,-62.5,2024,285,24.77
-17.5,-63.5,2024,285,25.79
-17.5,-62.5,2024,285,24.59
-16.5,-63.5,2024,285,23.78
-16.5,-62.5,2024,285,22.57
-18.5,-63.5,2024,286,25.57
-18.5,-62.5,2024,286,21.4
-17.5,-63.5,2024,286,25.29
-17.5,-62.5,2024,286,21.52
-16.5,-63.5,2024,286,20.71
-16.5,-62.5,2024,286,17.36
-18.5,-63.5,2024,287,21.17
-18.5,-62.5,2024,287,13.76
-17.5,-63.5,2024,287,21.05
-17.5,-62.5,2024,287,14.03
-16.5,-63.5,2024,287,17.96
-16.5,-62.5,2024,287,14.74
-18.5,-63.5,2024,288,18.48
-18.5,-62.5,2024,288,15.65
-17.5,-63.5,2024,288,18.7
-17.5,-62.5,2024,288,15.86
-16.5,-63.5,2024,288,17.13
-16.5,-62.5,2024,288,17.56
-18.5,-63.5,2024,289,19.12
-18.5,-62.5,2024,289,17.72
-17.5,-63.5,2024,289,18.95
-17.5,-62.5,2024,289,17.76
-16.5,-63.5,2024,289,16.25
-16.5,-62.5,2024,289,17.99
-18.5,-63.5,2024,290,18.95
-18.5,-62.5,2024,290,15.76
-17.5,-63.5,2024,290,18.73
-17.5,-62.5,2024,290,15.96
-16.5,-63.5,2024,290,15.45
-16.5,-62.5,2024,290,17.27
-18.5,-63.5,2024,291,19.84
-18.5,-62.5,2024,291,18.85
-17.5,-63.5,2024,291,19.61
-17.5,-62.5,2024,291,18.79
-16.5,-63.5,2024,291,15.24
-16.5,-62.5,2024,291,18.89
-18.5,-63.5,2024,292,19.47
-18.5,-62.5,2024,292,19.17
-17.5,-63.5,2024,292,19.15
-17.5,-62.5,2024,292,19.17
-16.5,-63.5,2024,292,17.56
-16.5,-62.5,2024,292,19.36
-18.5,-63.5,2024,293,28.24
-18.5,-62.5,2024,293,27.08
-17.5,-63.5,2024,293,27.61
-17.5,-62.5,2024,293,26.78
-16.5,-63.5,2024,293,24.76
-16.5,-62.5,2024,293,24.62
-18.5,-63.5,2024,294,28.32
-18.5,-62.5,2024,294,28.36
-17.5,-63.5,2024,294,27.95
-17.5,-62.5,2024,294,28.06
-16.5,-63.5,2024,294,27.09
-16.5,-62.5,2024,294,27.77
-18.5,-63.5,2024,295,26.55
-18.5,-62.5,2024,295,25.41
-17.5,-63.5,2024,295,26.16
-17.5,-62.5,2024,295,25.23
-16.5,-63.5,2024,295,25.77
-16.5,-62.5,2024,295,25.51
-18.5,-63.5,2024,296,24.3
-18.5,-62.5,2024,296,23.97
-17.5,-63.5,2024,296,24.03
-17.5,-62.5,2024,296,23.89
-16.5,-63.5,2024,296,24.08
-16.5,-62.5,2024,296,25.15
-18.5,-63.5,2024,297,26.43
-18.5,-62.5,2024,297,24.96
-17.5,-63.5,2024,297,26.16
-17.5,-62.5,2024,297,24.74
-16.5,-63.5,2024,297,24.97
-16.5,-62.5,2024,297,25.02
-18.5,-63.5,2024,298,27.11
-18.5,-62.5,2024,298,26.61
-17.5,-63.5,2024,298,26.73
-17.5,-62.5,2024,298,26.41
-16.5,-63.5,2024,298,26.29
-16.5,-62.5,2024,298,26.28
-18.5,-63.5,2024,299,26.68
