-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
GWETROOT     MERRA-2 Root Zone Soil Wetness (1) 
-END HEADER-
LAT,LON,YEAR,DOY,GWETROOT
-18.5,-63.75,2024,278,0.4
-18.5,-63.125,2024,278,0.35
-18.5,-62.5,2024,278,0.28
-18.0,-63.75,2024,278,0.45
-18.0,-63.125,2024,278,0.34
-18.0,-62.5,2024,278,0.25
-17.5,-63.75,2024,278,0.41
-17.5,-63.125,2024,278,0.38
-17.5,-62.5,2024,278,0.36
-17.0,-63.75,2024,278,0.59
-17.0,-63.125,2024,278,0.42
-17.0,-62.5,2024,278,0.47
-16.5,-63.75,2024,278,0.47
-16.5,-63.125,2024,278,0.38
-16.5,-62.5,2024,278,0.47
-18.5,-63.75,2024,279,0.4
-18.5,-63.125,2024,279,0.35
-18.5,-62.5,2024,279,0.27
-18.0,-63.75,2024,279,0.45
-18.0,-63.125,2024,279,0.34
-18.0,-62.5,2024,279,0.25
-17.5,-63.75,2024,279,0.41
-17.5,-63.125,2024,279,0.38
-17.5,-62.5,2024,279,0.36
-17.0,-63.75,2024,279,0.59
-17.0,-63.125,2024,279,0.42
-17.0,-62.5,2024,279,0.47
-16.5,-63.75,2024,279,0.47
-16.5,-63.125,2024,279,0.38
-16.5,-62.5,2024,279,0.47
-18.5,-63.75,2024,280,0.4
-18.5,-63.125,2024,280,0.34
-18.5,-62.5,2024,280,0.27
-18.0,-63.75,2024,280,0.44
-18.0,-63.125,2024,280,0.34
-18.0,-62.5,2024,280,0.25
-17.5,-63.75,2024,280,0.4
-17.5,-63.125,2024,280,0.38
-17.5,-62.5,2024,280,0.36
-17.0,-63.75,2024,280,0.58
-17.0,-63.125,2024,280,0.41
-17.0,-62.5,2024,280,0.47
-16.5,-63.75,2024,280,0.47
-16.5,-63.125,2024,280,0.38
-16.5,-62.5,2024,280,0.46
-18.5,-63.75,2024,281,0.4
-18.5,-63.125,2024,281,0.34
-18.5,-62.5,2024,281,0.27
-18.0,-63.75,2024,281,0.44
-18.0,-63.125,2024,281,0.33
-18.0,-62.5,2024,281,0.25
-17.5,-63.75,2024,281,0.4
-17.5,-63.125,2024,281,0.38
-17.5,-62.5,2024,281,0.36
-17.0,-63.75,2024,281,0.58
-17.0,-63.125,2024,281,0.41
-17.0,-62.5,2024,281,0.47
-16.5,-63.75,2024,281,0.47
-16.5,-63.125,2024,281,0.38
-16.5,-62.5,2024,281,0.46
-18.5,-63.75,2024,282,0.4
-18.5,-63.125,2024,282,0.35
-18.5,-62.5,2024,282,0.28
