-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
IMERG_PRECTOT     MERRA-2 Total Precipitation (mm/day) 
Message(s): 
The IMERG Source Data is not available at the Local Solar Time (LST) standard. 
-END HEADER-
LAT,LON,YEAR,DOY,IMERG_PRECTOT
-18.73,-64.3,2024,278,-999.0
-18.73,-62.23,2024,278,-999.0
-16.35,-64.3,2024,278,-999.0
-16.35,-62.23,2024,278,-999.0
-18.73,-64.3,2024,279,-999.0
-18.73,-62.23,2024,279,-999.0
-16.35,-64.3,2024,279,-999.0
-16.35,-62.23,2024,279,-999.0
-18.73,-64.3,2024,280,-999.0
-18.73,-62.23,2024,280,-999.0
-16.35,-64.3,2024,280,-999.0
-16.35,-62.23,2024,280,-999.0
-18.73,-64.3,2024,281,-999.0
-18.73,-62.23,2024,281,-999.0
-16.35,-64.3,2024,281,-999.0
-16.35,-62.23,2024,281,-999.0
-18.73,-64.3,2024,282,-999.0
-18.73,-62.23,2024,282,-999.0
-16.35,-64.3,2024,282,-999.0
-16.35,-62.23,2024,282,-999.0
-18.73,-64.3,2024,283,-999.0
-18.73,-62.23,2024,283,-999.0
-16.35,-64.3,2024,283,-999.0
-16.35,-62.23,2024,283,-999.0
-18.73,-64.3,2024,284,-999.0
-18.73,-62.23,2024,284,-999.0
-16.35,-64.3,2024,284,-999.0
-16.35,-62.23,2024,284,-999.0
-18.73,-64.3,2024,285,-999.0
-18.73,-62.23,2024,285,-999.0
-16.35,-64.3,2024,285,-999.0
-16.35,-62.23,2024,285,-999.0
-18.73,-64.3,2024,286,-999.0
-18.73,-62.23,2024,286,-999.0
-16.35,-64.3,2024,286,-999.0
-16.35,-62.23,2024,286,-999.0
-18.73,-64.3,2024,287,-999.0
-18.73,-62.23,2024,287,-999.0
-16.35,-64.3,2024,287,-999.0
-16.35,-62.23,2024,287,-999.0
-18.73,-64.3,2024,288,-999.0
-18.73,-62.23,2024,288,-999.0
-16.35,-64.3,2024,288,-999.0
-16.35,-62.23,2024,288,-999.0
-18.73,-64.3,2024,289,-999.0
-18.73,-62.23,2024,289,-999.0
-16.35,-64.3,2024,289,-999.0
-16.35,-62.23,2024,289,-999.0
-18.73,-64.3,2024,290,-999.0
-18.73,-62.23,2024,290,-999.0
-16.35,-64.3,2024,290,-999.0
-16.35,-62.23,2024,290,-999.0
-18.73,-64.3,2024,291,-999.0
-18.73,-62.23,2024,291,-999.0
-16.35,-64.3,2024,291,-999.0
-16.35,-62.23,2024,291,-999.0
-18.73,-64.3,2024,292,-999.0
-18.73,-62.23,2024,292,-999.0
-16.35,-64.3,2024,292,-999.0
-16.35,-62.23,2024,292,-999.0
-18.73,-64.3,2024,293,-999.0
-18.73,-62.23,2024,293,-999.0
-16.35,-64.3,2024,293,-999.0
-16.35,-62.23,2024,293,-999.0
-18.73,-64.3,2024,294,-999.0
-18.73,-62.23,2024,294,-999.0
-16.35,-64.3,2024,294,-999.0
-16.35,-62.23,2024,294,-999.0
-18.73,-64.3,2024,295,-999.0
-18.73,-62.23,2024,295,-999.0
-16.35,-64.3,2024,295,-999.0
-16.35,-62.23,2024,295,-999.0
-18.73,-64.3,2024,296,-999.0
-18.73,-62.23,2024,296,-999.0
-16.35,-64.3,2024,296,-999.0
-16.35,-62.23,2024,296,-999.0
-18.73,-64.3,2024,297,-999.0
-18.73,-62.23,2024,297,-999.0
-16.35,-64.3,2024,297,-999.0
-16.35,-62.23,2024,297,-999.0
-18.73,-64.3,2024,298,-999.0
-18.73,-62.23,2024,298,-999.0
-16.35,-64.3,2024,298,-999.0
-16.35,-62.23,2024,298,-999.0
-18.73,-64.3,2024,299,-999.0
-18.73,-62.23,2024,299,-999.0
-16.35,-64.3,2024,299,-999.0
-16.35,-62.23,2024,299,-999.0
-18.73,-64.3,2024,300,-999.0
-18.73,-62.23,2024,300,-999.0
-16.35,-64.3,2024,300,-999.0
-16.35,-62.23,2024,300,-999.0
-18.73,-64.3,2024,301,-999.0
-18.73,-62.23,2024,301,-999.0
-16.35,-64.3,2024,301,-999.0
-16.35,-62.23,2024,301,-999.0
-18.73,-64.3,2024,302,-999.0
-18.73,-62.23,2024,302,-999.0
-16.35,-64.3,2024,302,-999.0
-16.35,-62.23,2024,302,-999.0
-18.73,-64.3,2024,303,-999.0
-18.73,-62.23,2024,303,-999.0
-16.35,-64.3,2024,303,-999.0
-16.35,-62.23,2024,303,-999.0
-18.73,-64.3,2024,304,-999.0
-18.73,-62.23,2024,304,-999.0
-16.35,-64.3,2024,304,-999.0
-16.35,-62.23,2024,304,-999.0
-18.73,-64.3,2024,305,-999.0
-18.73,-62.23,2024,305,-999.0
-16.35,-64.3,2024,305,-999.0
-16.35,-62.23,2024,305,-999.0
-18.73,-64.3,2024,306,-999.0
-18.73,-62.23,2024,306,-999.0
-16.35,-64.3,2024,306,-999.0
-16.35,-62.23,2024,306,-999.0
-18.73,-64.3,2024,307,-999.0
-18.73,-62.23,2024,307,-999.0
-16.35,-64.3,2024,307,-999.0
-16.35,-62.23,2024,307,-999.0
-18.73,-64.3,2024,308,-999.0
-18.73,-62.23,2024,308,-999.0
-16.35,-64.3,2024,308,-999.0
-16.35,-62.23,2024,308,-999.0
-18.73,-64.3,2024,309,-999.0
-18.73,-62.23,2024,309,-999.0
-16.35,-64.3,2024,309,-999.0
-16.35,-62.23,2024,309,-999.0
-18.73,-64.3,2024,310,-999.0
-18.73,-62.23,2024,310,-999.0
-16.35,-64.3,2024,310,-999.0
-16.35,-62.23,2024,310,-999.0
-18.73,-64.3,2024,311,-999.0
-18.73,-62.23,2024,311,-999.0
-16.35,-64.3,2024,311,-999.0
-16.35,-62.23,2024,311,-999.0
