-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,DOY,PS
-18.5,-63.75,2024,278,86.1
-18.5,-63.125,2024,278,95.77
-18.5,-62.5,2024,278,97.44
-18.0,-63.75,2024,278,88.13
-18.0,-63.125,2024,278,95.82
-18.0,-62.5,2024,278,97.71
-17.5,-63.75,2024,278,95.44
-17.5,-63.125,2024,278,97.38
-17.5,-62.5,2024,278,98.04
-17.0,-63.75,2024,278,98.36
-17.0,-63.125,2024,278,98.36
-17.0,-62.5,2024,278,98.07
-16.5,-63.75,2024,278,98.71
-16.5,-63.125,2024,278,98.49
-16.5,-62.5,2024,278,96.87
-18.5,-63.75,2024,279,85.84
-18.5,-63.125,2024,279,95.35
-18.5,-62.5,2024,279,97.04
-18.0,-63.75,2024,279,87.92
-18.0,-63.125,2024,279,95.46
-18.0,-62.5,2024,279,97.35
-17.5,-63.75,2024,279,95.17
-17.5,-63.125,2024,279,97.05
-17.5,-62.5,2024,279,97.72
-17.0,-63.75,2024,279,98.08
-17.0,-63.125,2024,279,98.07
-17.0,-62.5,2024,279,97.78
-16.5,-63.75,2024,279,98.46
-16.5,-63.125,2024,279,98.25
-16.5,-62.5,2024,279,96.66
-18.5,-63.75,2024,280,85.77
-18.5,-63.125,2024,280,95.23
-18.5,-62.5,2024,280,96.91
-18.0,-63.75,2024,280,87.84
-18.0,-63.125,2024,280,95.35
-18.0,-62.5,2024,280,97.22
-17.5,-63.75,2024,280,95.07
-17.5,-63.125,2024,280,96.93
-17.5,-62.5,2024,280,97.59
-17.0,-63.75,2024,280,97.97
-17.0,-63.125,2024,280,97.94
-17.0,-62.5,2024,280,97.64
-16.5,-63.75,2024,280,98.34
-16.5,-63.125,2024,280,98.11
-16.5,-62.5,2024,280,96.52
-18.5,-63.75,2024,281,85.4
-18.5,-63.125,2024,281,94.87
-18.5,-62.5,2024,281,96.55
-18.0,-63.75,2024,281,87.51
-18.0,-63.125,2024,281,95.01
-18.0,-62.5,2024,281,96.89
-17.5,-63.75,2024,281,94.76
-17.5,-63.125,2024,281,96.62
-17.5,-62.5,2024,281,97.29
-17.0,-63.75,2024,281,97.68
-17.0,-63.125,2024,281,97.65
-17.0,-62.5,2024,281,97.38
-16.5,-63.75,2024,281,98.06
-16.5,-63.125,2024,281,97.85
-16.5,-62.5,2024,281,96.29
-18.5,-63.75,2024,282,85.42
-18.5,-63.125,2024,282,94.91
-18.5,-62.5,2024,282,96.59
-18.0,-63.75,2024,282,87.5
-18.0,-63.125,2024,282,95.02
-18.0,-62.5,2024,282,96.89
-17.5,-63.75,2024,282,94.75
-17.5,-63.125,2024,282,96.6
-17.5,-62.5,2024,282,97.28
-17.0,-63.75,2024,282,97.63
-17.0,-63.125,2024,282,97.62
-17.0,-62.5,2024,282,97.37
-16.5,-63.75,2024,282,98.01
-16.5,-63.125,2024,282,97.82
-16.5,-62.5,2024,282,96.28
-18.5,-63.75,2024,283,85.63
-18.5,-63.125,2024,283,95.23
-18.5,-62.5,2024,283,96.93
-18.0,-63.75,2024,283,87.72
-18.0,-63.125,2024,283,95.32
-18.0,-62.5,2024,283,97.21
-17.5,-63.75,2024,283,95.0
-17.5,-63.125,2024,283,96.9
-17.5,-62.5,2024,283,97.6
-17.0,-63.75,2024,283,97.91
-17.0,-63.125,2024,283,97.92
-17.0,-62.5,2024,283,97.67
-16.5,-63.75,2024,283,98.26
-16.5,-63.125,2024,283,98.09
-16.5,-62.5,2024,283,96.54
-18.5,-63.75,2024,284,85.37
-18.5,-63.125,2024,284,95.01
