-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,DOY,RH2M
-18.5,-63.75,2024,278,44.66
-18.5,-63.125,2024,278,32.69
-18.5,-62.5,2024,278,28.17
-18.0,-63.75,2024,278,47.05
-18.0,-63.125,2024,278,34.6
-18.0,-62.5,2024,278,29.0
-17.5,-63.75,2024,278,36.54
-17.5,-63.125,2024,278,34.01
-17.5,-62.5,2024,278,29.76
-17.0,-63.75,2024,278,33.29
-17.0,-63.125,2024,278,32.49
-17.0,-62.5,2024,278,31.06
-16.5,-63.75,2024,278,31.1
-16.5,-63.125,2024,278,29.61
-16.5,-62.5,2024,278,33.16
-18.5,-63.75,2024,279,44.03
-18.5,-63.125,2024,279,37.33
-18.5,-62.5,2024,279,33.22
-18.0,-63.75,2024,279,48.64
-18.0,-63.125,2024,279,38.38
-18.0,-62.5,2024,279,33.84
-17.5,-63.75,2024,279,39.5
-17.5,-63.125,2024,279,38.19
-17.5,-62.5,2024,279,33.49
-17.0,-63.75,2024,279,37.04
-17.0,-63.125,2024,279,35.15
-17.0,-62.5,2024,279,33.92
-16.5,-63.75,2024,279,34.91
-16.5,-63.125,2024,279,32.38
-16.5,-62.5,2024,279,37.01
-18.5,-63.75,2024,280,46.87
-18.5,-63.125,2024,280,37.48
-18.5,-62.5,2024,280,34.9
-18.0,-63.75,2024,280,51.06
-18.0,-63.125,2024,280,40.38
-18.0,-62.5,2024,280,36.8
-17.5,-63.75,2024,280,43.13
-17.5,-63.125,2024,280,41.44
-17.5,-62.5,2024,280,37.78
-17.0,-63.75,2024,280,39.31
-17.0,-63.125,2024,280,38.63
-17.0,-62.5,2024,280,37.13
-16.5,-63.75,2024,280,38.86
-16.5,-63.125,2024,280,36.26
-16.5,-62.5,2024,280,38.8
-18.5,-63.75,2024,281,40.63
-18.5,-63.125,2024,281,34.14
-18.5,-62.5,2024,281,35.21
-18.0,-63.75,2024,281,44.9
-18.0,-63.125,2024,281,37.24
-18.0,-62.5,2024,281,36.01
-17.5,-63.75,2024,281,39.67
