-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 10/04/2024 through 10/04/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,DOY,T2M_MIN
-18.5,-63.75,2024,278,15.55
-18.5,-63.125,2024,278,21.27
-18.5,-62.5,2024,278,23.33
-18.0,-63.75,2024,278,16.7
-18.0,-63.125,2024,278,21.42
-18.0,-62.5,2024,278,23.27
-17.5,-63.75,2024,278,22.51
-17.5,-63.125,2024,278,21.94
-17.5,-62.5,2024,278,23.47
-17.0,-63.75,2024,278,23.67
-17.0,-63.125,2024,278,23.51
-17.0,-62.5,2024,278,23.72
-16.5,-63.75,2024,278,24.39
-16.5,-63.125,2024,278,24.45
-16.5,-62.5,2024,278,22.66
-18.5,-63.75,2024,279,16.91
-18.5,-63.125,2024,279,22.52
-18.5,-62.5,2024,279,23.28
-18.0,-63.75,2024,279,17.16
-18.0,-63.125,2024,279,23.02
-18.0,-62.5,2024,279,24.23
-17.5,-63.75,2024,279,23.48
-17.5,-63.125,2024,279,24.42
-17.5,-62.5,2024,279,25.29
-17.0,-63.75,2024,279,25.03
-17.0,-63.125,2024,279,25.45
-17.0,-62.5,2024,279,25.97
-16.5,-63.75,2024,279,26.0
-16.5,-63.125,2024,279,27.11
-16.5,-62.5,2024,279,25.72
-18.5,-63.75,2024,280,19.14
-18.5,-63.125,2024,280,25.26
-18.5,-62.5,2024,280,25.96
-18.0,-63.75,2024,280,19.44
-18.0,-63.125,2024,280,24.85
-18.0,-62.5,2024,280,25.41
-17.5,-63.75,2024,280,24.55
-17.5,-63.125,2024,280,24.93
-17.5,-62.5,2024,280,25.3
-17.0,-63.75,2024,280,25.81
-17.0,-63.125,2024,280,25.51
-17.0,-62.5,2024,280,25.87
-16.5,-63.75,2024,280,25.87
-16.5,-63.125,2024,280,25.93
-16.5,-62.5,2024,280,25.34
-18.5,-63.75,2024,281,21.22
-18.5,-63.125,2024,281,27.0
-18.5,-62.5,2024,281,27.47
-18.0,-63.75,2024,281,21.31
-18.0,-63.125,2024,281,26.2
-18.0,-62.5,2024,281,27.27
-17.5,-63.75,2024,281,24.72
-17.5,-63.125,2024,281,25.29
-17.5,-62.5,2024,281,27.39
-17.0,-63.75,2024,281,26.99
-17.0,-63.125,2024,281,27.27
-17.0,-62.5,2024,281,28.03
-16.5,-63.75,2024,281,26.41
-16.5,-63.125,2024,281,27.69
-16.5,-62.5,2024,281,26.7
-18.5,-63.75,2024,282,19.81
-18.5,-63.125,2024,282,26.67
-18.5,-62.5,2024,282,28.03
-18.0,-63.75,2024,282,20.31
-18.0,-63.125,2024,282,25.89
-18.0,-62.5,2024,282,27.61
-17.5,-63.75,2024,282,24.31
-17.5,-63.125,2024,282,26.33
-17.5,-62.5,2024,282,28.36
-17.0,-63.75,2024,282,27.74
-17.0,-63.125,2024,282,29.2
-17.0,-62.5,2024,282,29.05
-16.5,-63.75,2024,282,29.8
-16.5,-63.125,2024,282,31.03
-16.5,-62.5,2024,282,28.42
-18.5,-63.75,2024,283,17.74
-18.5,-63.125,2024,283,24.28
-18.5,-62.5,2024,283,24.69
-18.0,-63.75,2024,283,18.57
-18.0,-63.125,2024,283,23.91
-18.0,-62.5,2024,283,24.57
-17.5,-63.75,2024,283,22.69
